mese,categoria,tipo_giorno,fascia_oraria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2024-06,IC,infrasettimanale,mattina,382,382,0,0,0,0,126,190,66,190,122,84,47,17,4666.0,321.0,4345.0,11.37434554973822,4.0,36.0,54.89999999999998,0
2024-06,IC,infrasettimanale,notte,208,208,0,0,0,0,52,92,64,92,68,39,20,5,1909.0,282.0,1627.0,7.822115384615385,3.0,26.600000000000023,34.64999999999998,0
2024-06,IC,infrasettimanale,pomeriggio,336,336,0,0,0,0,74,203,59,203,140,105,48,16,4889.0,194.0,4695.0,13.973214285714286,7.0,39.0,56.0,0
2024-06,IC,infrasettimanale,sera,195,195,0,0,0,0,46,99,50,99,61,40,27,13,2824.0,169.0,2655.0,13.615384615384615,5.0,39.0,66.19999999999976,0
2024-06,IC,infrasettimanale,tarda_mattina,363,363,0,0,0,0,79,168,114,168,117,96,50,16,5138.0,547.0,4591.0,12.717451523545707,4.0,37.0,53.0,0
2024-06,IC,weekend,mattina,203,203,0,0,0,0,57,95,49,95,58,43,22,12,2778.0,236.0,2542.0,12.64676616915423,3.0,36.0,69.0,0
2024-06,IC,weekend,notte,100,100,0,0,0,0,26,35,38,35,24,21,10,2,1065.0,182.0,883.0,8.919191919191919,2.0,29.000000000000014,48.29999999999998,0
2024-06,IC,weekend,pomeriggio,166,166,0,0,0,0,23,101,42,101,66,48,20,6,2332.0,165.0,2167.0,13.05421686746988,7.0,33.0,47.0,0
2024-06,IC,weekend,sera,87,87,0,0,0,0,20,46,20,46,36,25,19,9,1742.0,106.0,1636.0,19.023255813953487,5.0,60.0,71.75,0
2024-06,IC,weekend,tarda_mattina,201,201,0,0,0,0,52,81,65,81,56,47,30,13,2615.0,362.0,2253.0,11.378787878787879,3.0,42.30000000000001,69.14999999999998,0
2024-06,ICN,infrasettimanale,mattina,7,7,0,0,0,0,0,1,6,1,1,1,1,1,67.0,90.0,-23.0,-3.2857142857142856,-14.0,26.200000000000024,46.59999999999995,0
2024-06,ICN,infrasettimanale,notte,21,21,0,0,0,0,8,3,10,3,1,1,1,1,99.0,117.0,-18.0,-0.8571428571428571,0.0,5.0,7.0,0
2024-06,ICN,infrasettimanale,pomeriggio,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0
2024-06,ICN,infrasettimanale,sera,158,158,0,0,0,0,39,79,40,79,54,40,18,6,1946.0,201.0,1745.0,11.044303797468354,4.5,30.600000000000023,54.60000000000002,0
2024-06,ICN,infrasettimanale,tarda_mattina,31,31,0,0,0,0,6,16,9,16,14,10,3,1,376.0,30.0,346.0,11.161290322580646,7.0,29.0,37.0,0
2024-06,ICN,weekend,mattina,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0.0,74.0,-74.0,-18.5,-22.5,-7.699999999999997,-4.850000000000007,0
2024-06,ICN,weekend,notte,16,16,0,0,0,0,4,4,8,4,3,2,1,1,128.0,85.0,43.0,2.6875,-1.0,12.5,33.75,0
2024-06,ICN,weekend,pomeriggio,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0
2024-06,ICN,weekend,sera,92,92,0,0,0,0,25,37,30,37,25,18,12,5,1281.0,168.0,1113.0,12.097826086956522,3.0,34.60000000000002,64.40000000000003,0
2024-06,ICN,weekend,tarda_mattina,14,14,0,0,0,0,4,5,5,5,4,2,1,0,122.0,14.0,108.0,7.714285714285714,3.0,17.200000000000006,32.999999999999986,0
2024-06,IR,weekend,sera,1,1,0,0,0,0,0,1,0,1,1,1,1,0,43.0,0.0,43.0,43.0,43.0,43.0,43.0,0
2024-06,MET,infrasettimanale,mattina,645,645,0,0,0,0,277,31,327,31,16,13,4,2,937.0,651.0,286.0,0.4503937007874016,-1.0,3.0,4.0,0
2024-06,MET,infrasettimanale,notte,243,243,0,0,0,0,77,9,148,9,5,1,0,0,190.0,338.0,-148.0,-0.6324786324786325,-1.0,3.0,4.0,0
2024-06,MET,infrasettimanale,pomeriggio,810,810,0,0,0,0,316,75,409,75,31,18,4,0,1285.0,788.0,497.0,0.62125,-1.0,4.0,7.0,0
2024-06,MET,infrasettimanale,sera,786,786,0,0,0,0,362,77,343,77,47,25,3,0,1523.0,711.0,812.0,1.0383631713554988,0.0,4.0,11.0,0
2024-06,MET,infrasettimanale,tarda_mattina,912,912,0,0,0,0,318,56,535,56,19,7,0,0,985.0,1223.0,-238.0,-0.26182618261826185,-1.0,3.0,5.0,0
2024-06,MET,weekend,mattina,277,277,0,0,0,0,107,8,151,8,3,1,0,0,195.0,318.0,-123.0,-0.462406015037594,-1.0,2.0,3.0,0
2024-06,MET,weekend,notte,136,136,0,0,0,0,41,17,71,17,11,5,0,0,272.0,193.0,79.0,0.6124031007751938,-1.0,8.200000000000003,13.0,0
2024-06,MET,weekend,pomeriggio,359,359,0,0,0,0,132,14,201,14,5,1,0,0,283.0,468.0,-185.0,-0.5331412103746398,-1.0,2.0,3.6999999999999886,0
2024-06,MET,weekend,sera,340,340,0,0,0,0,149,20,157,20,4,1,0,0,335.0,338.0,-3.0,-0.009202453987730062,0.0,3.0,5.0,0
2024-06,MET,weekend,tarda_mattina,356,356,0,0,0,0,134,12,206,12,2,1,0,0,256.0,468.0,-212.0,-0.6022727272727273,-1.0,2.0,3.0,0
2024-06,NCL,infrasettimanale,mattina,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,7.0,-7.0,-7.0,-7.0,-7.0,-7.0,0
2024-06,NCL,infrasettimanale,notte,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,47.0,-47.0,-23.5,-23.5,-23.1,-23.05,0
2024-06,NCL,infrasettimanale,tarda_mattina,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,85.0,-85.0,-42.5,-42.5,-27.7,-25.85,0
2024-06,NCL,weekend,notte,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0.0,148.0,-148.0,-29.6,-27.0,-23.0,-22.0,0
2024-06,NCL,weekend,sera,3,3,0,0,0,0,1,1,1,1,1,1,0,0,19.0,1.0,18.0,6.0,0.0,15.200000000000001,17.099999999999998,0
2024-06,REG,infrasettimanale,mattina,24062,24062,0,0,0,0,11270,3745,8939,3745,1330,732,232,52,63034.0,22274.0,40760.0,1.7015947232195041,1.0,6.0,10.0,0
2024-06,REG,infrasettimanale,notte,9852,9852,0,0,0,0,4085,1313,4409,1313,493,282,101,21,23069.0,11337.0,11732.0,1.1962883654532477,0.0,6.0,10.0,0
2024-06,REG,infrasettimanale,pomeriggio,28998,28998,0,0,0,0,12936,5761,10129,5761,2394,1368,438,87,96408.0,25953.0,70455.0,2.4441476444876153,1.0,8.0,14.0,0
2024-06,REG,infrasettimanale,sera,23317,23317,0,0,0,0,9718,4803,8656,4803,2133,1263,435,91,82702.0,23432.0,59270.0,2.5572766104327567,1.0,9.0,16.0,0
2024-06,REG,infrasettimanale,tarda_mattina,29665,29665,0,0,0,0,13446,4984,11118,4984,1965,1122,368,95,87602.0,28129.0,59473.0,2.012758900771626,1.0,7.0,12.0,0
2024-06,REG,weekend,mattina,8552,8552,0,0,0,0,3689,1129,3425,1129,463,265,95,21,20415.0,8858.0,11557.0,1.4020380929273324,0.0,6.0,10.0,0
2024-06,REG,weekend,notte,3526,3526,0,0,0,0,1418,379,1643,379,158,83,31,8,7198.0,4575.0,2623.0,0.7625,0.0,5.0,8.0,0
2024-06,REG,weekend,pomeriggio,10148,10148,0,0,0,0,4197,1725,3840,1725,743,429,147,27,29338.0,10197.0,19141.0,1.9607662364269618,1.0,7.0,13.0,0
2024-06,REG,weekend,sera,8412,8412,0,0,0,0,3346,1428,3345,1428,618,340,90,18,23240.0,8826.0,14414.0,1.7753417908609435,0.0,7.0,13.0,0
2024-06,REG,weekend,tarda_mattina,10100,10100,0,0,0,0,4232,1597,3874,1597,606,349,106,25,26389.0,9960.0,16429.0,1.693187673915284,0.0,7.0,11.0,0
