mese,tipo_giorno,fascia_oraria,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,ruolo,nome_stazione
2024-06,weekend,mattina,,N_66EFE7185ACC,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,arrivo,GENOVA P.PRINCIPE
2024-06,weekend,mattina,,N_66EFE7185ACC,2,2,0,0,0,0,0,2,0,2,2,0,0,0,25.0,0.0,25.0,12.5,12.5,13.7,13.85,0,partenza,GENOVA P.PRINCIPE
2024-06,weekend,mattina,,N_6DAD4A05816E,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,5.0,-5.0,-2.5,-2.5,-1.2999999999999998,-1.1500000000000001,0,partenza,FIRENZE S.M.N.
2024-06,weekend,mattina,,N_6DCA844AE5BC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,partenza,TARANTO
2024-06,weekend,mattina,,N_72DA38E192FF,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,partenza,PESCARA
2024-06,weekend,mattina,,N_ACF3D2764DA3,16,16,0,0,0,0,6,3,7,3,3,1,0,0,60.0,40.0,20.0,1.25,0.5,13.0,16.25,0,arrivo,MILANO CENTRALE
2024-06,weekend,mattina,,N_ACF3D2764DA3,11,11,0,0,0,0,3,5,3,5,3,1,0,0,56.0,16.0,40.0,3.6363636363636362,2.0,11.0,17.0,0,partenza,MILANO CENTRALE
2024-06,weekend,mattina,,N_AF7C7C87621E,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,arrivo,FIUMICINO AEROPORTO
2024-06,weekend,mattina,,N_BF0DC42C9523,3,3,0,0,0,0,0,1,2,1,1,1,1,0,47.0,11.0,36.0,12.0,-4.0,36.800000000000004,41.89999999999999,0,arrivo,LECCE
2024-06,weekend,mattina,,N_BF0DC42C9523,4,4,0,0,0,0,2,2,0,2,2,0,0,0,31.0,0.0,31.0,7.75,8.5,13.7,13.85,0,partenza,LECCE
2024-06,weekend,mattina,,N_C03F51FB3BED,2,2,0,0,0,0,0,2,0,2,2,2,0,0,39.0,0.0,39.0,19.5,19.5,22.3,22.65,0,arrivo,SALERNO
2024-06,weekend,mattina,,N_C03F51FB3BED,3,3,0,0,0,0,1,2,0,2,2,1,0,0,35.0,0.0,35.0,11.666666666666666,11.0,20.6,21.799999999999997,0,partenza,SALERNO
2024-06,weekend,mattina,,N_C22D4B09E695,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0,partenza,MANTOVA
2024-06,weekend,mattina,,N_C35DAF060D8A,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,0,partenza,GENOVA BRIGNOLE
2024-06,weekend,mattina,,N_DD6564CDFB93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,partenza,ANCONA
2024-06,weekend,mattina,,N_DEBAB2A3D4C0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,23.0,-23.0,-7.666666666666667,-7.0,-6.2,-6.1,0,arrivo,REGGIO CALABRIA CENTRALE
2024-06,weekend,mattina,,N_DEBAB2A3D4C0,2,2,0,0,0,0,0,2,0,2,1,0,0,0,19.0,0.0,19.0,9.5,9.5,9.9,9.95,0,partenza,REGGIO CALABRIA CENTRALE
2024-06,weekend,mattina,,N_E903EB64CBF3,8,8,0,0,0,0,2,6,0,6,5,2,0,0,91.0,0.0,91.0,11.375,12.0,19.199999999999996,24.099999999999994,0,arrivo,ROMA TERMINI
2024-06,weekend,mattina,,N_E903EB64CBF3,12,12,0,0,0,0,3,1,8,1,1,1,1,0,56.0,48.0,8.0,0.6666666666666666,-3.5,3.9000000000000004,23.34999999999997,0,partenza,ROMA TERMINI
2024-06,weekend,mattina,,N_EE539AC676E9,3,3,0,0,0,0,0,1,2,1,1,0,0,0,12.0,9.0,3.0,1.0,-4.0,8.8,10.399999999999999,0,arrivo,BOLZANO
2024-06,weekend,mattina,,N_EE539AC676E9,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8.0,0.0,8.0,4.0,4.0,4.8,4.9,0,partenza,BOLZANO
2024-06,weekend,mattina,,N_F047351D32A4,11,11,0,0,0,0,1,4,6,4,1,0,0,0,30.0,34.0,-4.0,-0.36363636363636365,-2.0,9.0,9.5,0,arrivo,NAPOLI CENTRALE
2024-06,weekend,mattina,,N_F047351D32A4,5,5,0,0,0,0,1,2,2,2,1,1,0,0,26.0,10.0,16.0,3.2,0.0,14.400000000000002,17.199999999999996,0,partenza,NAPOLI CENTRALE
2024-06,weekend,mattina,,N_F6BAB1C5673F,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0,partenza,BRESCIA
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,10,10,0,0,0,0,5,4,1,4,2,1,0,0,60.0,1.0,59.0,5.9,4.0,11.899999999999997,15.94999999999999,0,arrivo,TORINO P.NUOVA
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,6,6,0,0,0,0,0,3,3,3,2,2,0,0,39.0,16.0,23.0,3.8333333333333335,1.5,17.0,17.5,0,partenza,TORINO P.NUOVA
2024-06,weekend,mattina,EC,N_25B9CF10B7D2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,partenza,BOLOGNA C.LE
2024-06,weekend,mattina,EC,N_ACF3D2764DA3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,10.0,-10.0,-5.0,-5.0,-2.5999999999999996,-2.3000000000000003,0,partenza,MILANO CENTRALE
2024-06,weekend,mattina,EC,N_CBBFAA6775E8,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2.0,6.0,-4.0,-2.0,-2.0,1.2000000000000002,1.5999999999999996,0,arrivo,BRENNERO
2024-06,weekend,mattina,EC,N_DF72E0451C21,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,10.0,-10.0,-5.0,-5.0,-2.5999999999999996,-2.3000000000000003,0,arrivo,DOMODOSSOLA
2024-06,weekend,mattina,EC,N_EE539AC676E9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0,partenza,BOLZANO
2024-06,weekend,mattina,IC,N_03F21F592247,1,1,0,0,0,0,0,1,0,1,1,0,0,0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,0,arrivo,LIVORNO CENTRALE
2024-06,weekend,mattina,IC,N_03F21F592247,2,2,0,0,0,0,1,1,0,1,0,0,0,0,9.0,0.0,9.0,4.5,4.5,7.3,7.6499999999999995,0,partenza,LIVORNO CENTRALE
2024-06,weekend,mattina,IC,N_25B9CF10B7D2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3.0,8.0,-5.0,-2.5,-2.5,1.9000000000000004,2.4499999999999993,0,arrivo,BOLOGNA C.LE
2024-06,weekend,mattina,IC,N_25B9CF10B7D2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,partenza,BOLOGNA C.LE
2024-06,weekend,mattina,IC,N_29D6951DFB5A,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0,partenza,TRIESTE CENTRALE
2024-06,weekend,mattina,IC,N_2B5A38574141,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0,arrivo,BARI CENTRALE
2024-06,weekend,mattina,IC,N_2B5A38574141,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,partenza,BARI CENTRALE
2024-06,weekend,mattina,IC,N_3A82FA9A0D0C,1,1,0,0,0,0,0,1,0,1,1,1,1,0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,0,arrivo,VENTIMIGLIA
2024-06,weekend,mattina,IC,N_3A82FA9A0D0C,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,partenza,VENTIMIGLIA
2024-06,weekend,mattina,IC,N_64548ED4BF34,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0,partenza,SIRACUSA
2024-06,weekend,mattina,IC,N_66EFE7185ACC,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0,arrivo,GENOVA P.PRINCIPE
2024-06,weekend,mattina,IC,N_6DCA844AE5BC,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,8.0,-8.0,-4.0,-4.0,-2.4,-2.2,0,arrivo,TARANTO
2024-06,weekend,mattina,IC,N_72DA38E192FF,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,partenza,PESCARA
2024-06,weekend,mattina,IC,N_AB0F0E99A555,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,arrivo,BARDONECCHIA
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,4,4,0,0,0,0,1,2,1,2,1,0,0,0,22.0,1.0,21.0,5.25,4.5,11.5,12.249999999999998,0,arrivo,MILANO CENTRALE
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,6,6,0,0,0,0,2,3,1,3,3,2,1,0,74.0,3.0,71.0,11.833333333333334,8.0,28.5,35.25,0,partenza,MILANO CENTRALE
2024-06,weekend,mattina,IC,N_BF0DC42C9523,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2.0,1.0,1.0,0.5,0.5,1.7000000000000002,1.8499999999999999,0,arrivo,LECCE
2024-06,weekend,mattina,IC,N_BF0DC42C9523,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3.0,8.0,-5.0,-2.5,-2.5,1.9000000000000004,2.4499999999999993,0,partenza,LECCE
2024-06,weekend,mattina,IC,N_C03F51FB3BED,2,2,0,0,0,0,0,2,0,2,1,0,0,0,19.0,0.0,19.0,9.5,9.5,12.3,12.65,0,partenza,SALERNO
2024-06,weekend,mattina,IC,N_C35DAF060D8A,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,partenza,GENOVA BRIGNOLE
2024-06,weekend,mattina,IC,N_DD6564CDFB93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,arrivo,ANCONA
2024-06,weekend,mattina,IC,N_DD8D6A1F4D25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,arrivo,GROSSETO
2024-06,weekend,mattina,IC,N_DEBAB2A3D4C0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,arrivo,REGGIO CALABRIA CENTRALE
2024-06,weekend,mattina,IC,N_DEBAB2A3D4C0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,11.0,-11.0,-3.6666666666666665,-3.0,-2.2,-2.1,0,partenza,REGGIO CALABRIA CENTRALE
2024-06,weekend,mattina,IC,N_E3B8163AC6FC,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0,partenza,PALERMO CENTRALE
2024-06,weekend,mattina,IC,N_E903EB64CBF3,6,6,0,0,0,0,2,2,2,2,0,0,0,0,16.0,5.0,11.0,1.8333333333333333,1.5,6.5,6.75,0,arrivo,ROMA TERMINI
2024-06,weekend,mattina,IC,N_E903EB64CBF3,3,3,0,0,0,0,2,0,1,0,0,0,0,0,4.0,2.0,2.0,0.6666666666666666,1.0,2.6,2.8,0,partenza,ROMA TERMINI
2024-06,weekend,mattina,IC,N_F047351D32A4,2,2,0,0,0,0,0,1,1,1,1,1,0,0,15.0,4.0,11.0,5.5,5.5,13.100000000000001,14.049999999999999,0,arrivo,NAPOLI CENTRALE
2024-06,weekend,mattina,IC,N_F0893AF956E9,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0,partenza,PERUGIA
2024-06,weekend,mattina,IC,N_F6D345743682,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0,arrivo,MESSINA CENTRALE
2024-06,weekend,mattina,IC,N_FEBDC4EA7CA2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0,arrivo,TORINO P.NUOVA
2024-06,weekend,mattina,IC,N_FEBDC4EA7CA2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0,partenza,TORINO P.NUOVA
2024-06,weekend,mattina,ICN,N_E3B8163AC6FC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,27.0,-27.0,-27.0,-27.0,-27.0,-27.0,0,arrivo,PALERMO CENTRALE
2024-06,weekend,mattina,ICN,N_F6D345743682,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,27.0,-27.0,-27.0,-27.0,-27.0,-27.0,0,partenza,MESSINA CENTRALE
2024-06,weekend,mattina,MET,N_0DCAED7E3CB2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,3.0,-3.0,-1.5,-1.5,-1.1,-1.05,0,arrivo,TORRE ANNUNZIATA CENTRALE
2024-06,weekend,mattina,MET,N_2231A438465D,8,8,0,0,0,0,2,1,5,1,0,0,0,0,7.0,12.0,-5.0,-0.625,-1.0,2.8999999999999995,3.9499999999999984,0,arrivo,NAPOLI CAMPI FLEGREI
2024-06,weekend,mattina,MET,N_2231A438465D,13,13,0,0,0,0,2,0,11,0,0,0,0,0,3.0,28.0,-25.0,-1.9230769230769231,-1.0,0.6000000000000014,1.3999999999999986,0,partenza,NAPOLI CAMPI FLEGREI
2024-06,weekend,mattina,MET,N_42A528D8B57B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,arrivo,CASERTA
2024-06,weekend,mattina,MET,N_42A528D8B57B,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0.0,6.0,-6.0,-2.0,-1.0,-0.19999999999999996,-0.10000000000000009,0,partenza,CASERTA
2024-06,weekend,mattina,MET,N_4867F34F8972,10,10,0,0,0,0,3,0,7,0,0,0,0,0,4.0,18.0,-14.0,-1.4,-1.5,1.0999999999999996,1.549999999999999,0,arrivo,NAPOLI S.GIOV.BARRA
2024-06,weekend,mattina,MET,N_4867F34F8972,10,10,0,0,0,0,5,0,5,0,0,0,0,0,7.0,8.0,-1.0,-0.1,-0.5,2.1999999999999993,3.099999999999998,0,partenza,NAPOLI S.GIOV.BARRA
2024-06,weekend,mattina,MET,N_5A1ED9B2CC3E,3,3,0,0,0,0,1,0,2,0,0,0,0,0,2.0,3.0,-1.0,-0.3333333333333333,-1.0,1.4000000000000001,1.6999999999999997,0,arrivo,NOCERA INFERIORE
2024-06,weekend,mattina,MET,N_C03F51FB3BED,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,14.0,-14.0,-4.666666666666667,-4.0,-1.5999999999999999,-1.3000000000000003,0,arrivo,SALERNO
2024-06,weekend,mattina,MET,N_C03F51FB3BED,4,4,0,0,0,0,1,1,2,1,0,0,0,0,7.0,4.0,3.0,0.75,0.5,4.1000000000000005,4.549999999999999,0,partenza,SALERNO
2024-06,weekend,mattina,MET,N_D77D870762C5,12,12,0,0,0,0,5,0,7,0,0,0,0,0,7.0,10.0,-3.0,-0.25,-1.0,1.9000000000000004,2.8999999999999986,0,arrivo,POZZUOLI SOLFATARA
2024-06,weekend,mattina,MET,N_D77D870762C5,9,9,0,0,0,0,2,0,7,0,0,0,0,0,3.0,15.0,-12.0,-1.3333333333333333,-2.0,1.2000000000000002,1.5999999999999996,0,partenza,POZZUOLI SOLFATARA
2024-06,weekend,mattina,REG,N_0042D1DF87B8,2,2,0,0,0,0,2,0,0,0,0,0,0,0,3.0,0.0,3.0,1.5,1.5,1.9,1.95,0,arrivo,MONSELICE
2024-06,weekend,mattina,REG,N_0042D1DF87B8,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0,partenza,MONSELICE
2024-06,weekend,mattina,REG,N_0161CF483CE4,12,12,0,0,0,0,1,3,8,3,3,0,0,0,36.0,26.0,10.0,0.8333333333333334,-1.0,10.9,12.349999999999998,0,arrivo,ALESSANDRIA
2024-06,weekend,mattina,REG,N_0161CF483CE4,9,9,0,0,0,0,3,3,3,3,0,0,0,0,25.0,9.0,16.0,1.7777777777777777,1.0,7.2,7.6,0,partenza,ALESSANDRIA
2024-06,weekend,mattina,REG,N_02AF18E37314,8,8,0,0,0,0,4,0,4,0,0,0,0,0,6.0,13.0,-7.0,-0.875,-0.5,2.0,2.0,0,arrivo,CHIVASSO
2024-06,weekend,mattina,REG,N_02AF18E37314,7,7,0,0,0,0,1,2,4,2,0,0,0,0,16.0,18.0,-2.0,-0.2857142857142857,-1.0,5.800000000000001,6.399999999999999,0,partenza,CHIVASSO
2024-06,weekend,mattina,REG,N_03F21F592247,3,3,0,0,0,0,3,0,0,0,0,0,0,0,4.0,0.0,4.0,1.3333333333333333,1.0,1.8,1.9,0,arrivo,LIVORNO CENTRALE
2024-06,weekend,mattina,REG,N_03F21F592247,4,4,0,0,0,0,2,0,2,0,0,0,0,0,2.0,3.0,-1.0,-0.25,-0.5,1.4000000000000004,1.6999999999999993,0,partenza,LIVORNO CENTRALE
2024-06,weekend,mattina,REG,N_049B6C1A1016,6,6,0,0,0,0,2,0,4,0,0,0,0,0,5.0,9.0,-4.0,-0.6666666666666666,-1.0,2.5,3.25,0,arrivo,ROMA OSTIENSE
2024-06,weekend,mattina,REG,N_049B6C1A1016,5,5,0,0,0,0,3,0,2,0,0,0,0,0,6.0,4.0,2.0,0.4,0.0,3.2,3.5999999999999996,0,partenza,ROMA OSTIENSE
2024-06,weekend,mattina,REG,N_06F2305DF710,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,5.0,-5.0,-2.5,-2.5,-2.1,-2.05,0,arrivo,CARBONIA SERBARIU
2024-06,weekend,mattina,REG,N_06F2305DF710,3,3,0,0,0,0,2,0,1,0,0,0,0,0,1.0,3.0,-2.0,-0.6666666666666666,0.0,0.8,0.8999999999999999,0,partenza,CARBONIA SERBARIU
2024-06,weekend,mattina,REG,N_0778A78A8E9E,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0.0,29.0,-29.0,-4.833333333333333,-5.0,-4.0,-4.0,0,arrivo,GIACHERY
2024-06,weekend,mattina,REG,N_0778A78A8E9E,5,5,0,0,0,0,5,0,0,0,0,0,0,0,4.0,0.0,4.0,0.8,1.0,1.6,1.7999999999999998,0,partenza,GIACHERY
2024-06,weekend,mattina,REG,N_07E03923EBDB,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,5.0,-5.0,-1.6666666666666667,-2.0,-1.2,-1.1,0,arrivo,POGGIO MIRTETO
2024-06,weekend,mattina,REG,N_07E03923EBDB,2,2,0,0,0,0,2,0,0,0,0,0,0,0,3.0,0.0,3.0,1.5,1.5,1.9,1.95,0,partenza,POGGIO MIRTETO
2024-06,weekend,mattina,REG,N_0825CE132492,10,10,0,0,0,0,5,0,5,0,0,0,0,0,2.0,17.0,-15.0,-1.5,-1.0,1.0,1.0,0,arrivo,MODENA
2024-06,weekend,mattina,REG,N_0825CE132492,11,11,0,0,0,0,7,1,3,1,0,0,0,0,22.0,8.0,14.0,1.2727272727272727,1.0,4.0,5.0,0,partenza,MODENA
2024-06,weekend,mattina,REG,N_08C23BC414B7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0,arrivo,ORISTANO
2024-06,weekend,mattina,REG,N_08C23BC414B7,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,5.0,-5.0,-2.5,-2.5,-2.1,-2.05,0,partenza,ORISTANO
2024-06,weekend,mattina,REG,N_098D485D9D54,4,4,0,0,0,0,3,1,0,1,0,0,0,0,9.0,0.0,9.0,2.25,1.5,4.800000000000001,5.399999999999999,0,arrivo,LAVENO
2024-06,weekend,mattina,REG,N_098D485D9D54,4,4,0,0,0,0,4,0,0,0,0,0,0,0,9.0,0.0,9.0,2.25,2.0,2.7,2.8499999999999996,0,partenza,LAVENO
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,3,3,0,0,0,0,1,0,2,0,0,0,0,0,3.0,2.0,1.0,0.3333333333333333,-1.0,2.2,2.5999999999999996,0,arrivo,CASARSA
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,3,3,0,0,0,0,2,0,1,0,0,0,0,0,3.0,1.0,2.0,0.6666666666666666,0.0,2.4000000000000004,2.6999999999999997,0,partenza,CASARSA
2024-06,weekend,mattina,REG,N_0D2920696248,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0,partenza,BUCCINO S.
2024-06,weekend,mattina,REG,N_0D41A196F1DD,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0,arrivo,PIAZZA AL SERCHIO
2024-06,weekend,mattina,REG,N_0D41A196F1DD,3,3,0,0,0,0,1,0,2,0,0,0,0,0,2.0,2.0,0.0,0.0,-1.0,1.4000000000000001,1.6999999999999997,0,partenza,PIAZZA AL SERCHIO
2024-06,weekend,mattina,REG,N_0DCAED7E3CB2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0,partenza,TORRE ANNUNZIATA CENTRALE
2024-06,weekend,mattina,REG,N_0F912C727550,4,4,0,0,0,0,4,0,0,0,0,0,0,0,9.0,0.0,9.0,2.25,2.0,3.4000000000000004,3.6999999999999993,0,arrivo,CHIERI
2024-06,weekend,mattina,REG,N_0F912C727550,5,5,0,0,0,0,4,0,1,0,0,0,0,0,4.0,1.0,3.0,0.6,0.0,2.2,2.5999999999999996,0,partenza,CHIERI
2024-06,weekend,mattina,REG,N_105299730773,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,arrivo,SAN BENEDETTO SAMBRO-CAST.PEPOLI
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,4,4,0,0,0,0,2,0,2,0,0,0,0,0,3.0,10.0,-7.0,-1.75,-1.5,1.7000000000000002,1.8499999999999996,0,arrivo,ASTI
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,4,4,0,0,0,0,1,0,3,0,0,0,0,0,1.0,15.0,-14.0,-3.5,-4.5,-0.1999999999999993,0.3999999999999986,0,partenza,ASTI
2024-06,weekend,mattina,REG,N_1135E3A06BBC,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,5.0,-5.0,-2.5,-2.5,-2.1,-2.05,0,arrivo,IMOLA
2024-06,weekend,mattina,REG,N_1135E3A06BBC,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0,partenza,IMOLA
2024-06,weekend,mattina,REG,N_1178F7B0850D,6,6,0,0,0,0,5,1,0,1,0,0,0,0,16.0,0.0,16.0,2.6666666666666665,2.0,5.0,6.0,0,arrivo,TORINO REBAUDENGO FOSSATA
2024-06,weekend,mattina,REG,N_1178F7B0850D,4,4,0,0,0,0,4,0,0,0,0,0,0,0,1.0,0.0,1.0,0.25,0.0,0.7000000000000002,0.8499999999999996,0,partenza,TORINO REBAUDENGO FOSSATA
2024-06,weekend,mattina,REG,N_11F871780543,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,partenza,SEVESO
2024-06,weekend,mattina,REG,N_12E14CB6B0D0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,partenza,TORINO LINGOTTO
2024-06,weekend,mattina,REG,N_15523132CDAE,4,4,0,0,0,0,3,1,0,1,1,1,0,0,25.0,0.0,25.0,6.25,4.0,12.400000000000002,14.199999999999996,0,arrivo,COLICO
2024-06,weekend,mattina,REG,N_15523132CDAE,6,6,0,0,0,0,4,1,1,1,1,1,0,0,27.0,1.0,26.0,4.333333333333333,2.5,10.5,13.75,0,partenza,COLICO
