cod_stazione,nome_stazione,lat,lon
N_AB154A1831F2,CHIUSI C.T.,41.985049,12.046909
S06925,CHIUSI-CHIANCIANO TERME,43.002499,11.957601
S00232,CHIVASSO,45.193382,7.889804
S08650,CIAMPINO,41.803897,12.633683
N_7C26FB2E9EE9,CIANO D'ENZA,44.595515,10.408735
S05921,CIANO D\'ENZA,44.595515,10.408735
S12126,CINISI TERRASINI,38.155295,13.096842
N_24B26754DFAB,CIRE',46.078522,11.206468
S00090,CIRIE\',,
N_46F3215AFA68,CISTERNA DI LATINA,41.587016,12.830728
S02535,CITTADELLA,45.643906,11.789509
N_F6ABE6CB9A86,CIVITANOVA MARCHE,43.317613,13.6786
S07506,CIVITANOVA MARCHE-MONTEGRANARO,43.309118,13.725591
S08010,CIVITAVECCHIA,42.088253,11.797931
N_E05DA8416A82,CIVITELLA ROVETO,41.916979,13.424244
S01540,COCCAGLIO,,
N_3179C3B315EF,COCULLO,42.034462,13.774802
S05799,CODIGORO,44.835963,12.102204
S01828,CODOGNO,45.157484,9.711863
N_BC3AA5F1647F,CODOLA,40.768626,14.655743
S04532,COGOLETO,44.389622,8.643208
S01420,COLICO,46.136311,9.373819
N_4B21A26F7707,COLLE ISARCO,46.946395,11.447319
N_AEA8F75C58A4,COLLE MATTIA,41.832589,12.728337
S06151,COLLECCHIO,44.754445,10.21211
S08657,COLLEFERRO-SEGNI-PALIANO,41.740136,13.003002
N_F7AD6966E265,COLLEGNO,45.078977,7.574175
S01852,COLORNO,44.930162,10.375486
S01308,COMO CAMERLATA,45.776854,9.073098
S01763,COMO CAMERLATA (FNM),,
S01765,COMO LAGO,45.814116,9.08409
N_4D5418DDC1C2,COMO NORD BORGHI,45.804953,9.09088
N_F8A251096935,COMO NORD LAGO,45.814116,9.08409
S01307,COMO S.GIOVANNI,45.809146,9.072656
N_A3F727A0D624,COMPIOBBI,43.782525,11.358892
S02706,CONEGLIANO,45.885619,12.298243
S07404,CONTIGLIANO,,
N_A04A2042CD96,CORDOVADO SESTO,45.850612,12.877969
N_3DDDE366C0C5,CORNIGLIA,44.118767,9.716053
S02569,CORNUDA,,
S01865,CORTEOLONA,45.15714,9.372615
S11910,COSENZA,39.808184,15.800927
N_A9B01CF2D76C,COSSATO,45.541959,8.211231
N_1BD7BE26D485,CREMA,45.366344,9.686004
S01915,CREMONA,45.142474,10.006563
S06607,CRESPINO DEL LAMONE,44.041812,11.548251
N_6F1B8257F216,CRESSA FONTANETO,45.644821,8.495101
N_6BBF3DDEDCD5,CREVALCORE,44.719105,11.152506
S11823,CROTONE,39.025869,16.963891
N_4531CF9DA7F6,CUCCIAGO,45.74048,9.08289
S00610,CUNEO,44.693619,7.849202
S12888,DECIMOMANNU,39.30819,8.966427
S01408,DERVIO,46.077661,9.306354
N_A2DA4F359B43,DESENZANO,45.468142,10.536131
S01320,DESIO,45.619054,9.207822
S11731,DIAMANTE BUONVICINO,39.676909,15.824379
N_F2031B1BFA74,DICOMANO,43.893422,11.519529
N_ACD663C85CDB,DIECIMO - PESCAGLIA,43.959388,10.507811
S12240,DITTAINO,37.56502,14.460079
N_DAFB529CFEC6,DOLO,45.426018,12.070312
N_5C0A056D62CA,DOMEGLIARA,45.521445,10.820647
S01003,DOMODOSSOLA,46.115437,8.296406
S01405,DUBINO,46.15342,9.461333
N_6EEB69AD15BA,DUEVILLE,45.635527,11.547738
S09824,EBOLI,40.611216,15.052435
N00235,EDOLO,46.178271,10.324711
N_BD9F271BBFD9,EGNA-TERMENO,46.319135,11.257367
N_7B9D9C8E5BA1,ELLERA CORCIANO,43.094719,12.318625
S06510,EMPOLI,43.715825,10.949204
S12238,ENNA,,
N00074,ERBA,45.813227,9.229882
S07208,FABRIANO,43.342712,12.914969
N_91FF79A04B11,FABRO-FICULLE,42.874823,12.041295
S05058,FAENZA,44.279814,11.897669
S07111,FALCONARA MARITTIMA,43.606775,13.359141
N_75EE60EB2654,FARA SABINA,42.15997,12.652232
S08214,FARA SABINA-MONTELIBRETTI,42.155506,12.647394
S11130,FASANO,40.816833,17.455517
S02564,FELTRE,45.316091,10.656527
S01138,FERNO - LONATE POZZOLO,45.604484,8.755846
S05712,FERRARA,44.844763,11.605947
N_B91AC4940F80,FERRUZZANO,38.016341,16.134335
S05009,FIDENZA,44.866522,10.061194
S06908,FIGLINE VALDARNO,43.621632,11.473354
N_C20D1546D923,FINALE LIGURE MARINA,44.172355,8.355028
S05007,FIORENZUOLA,44.91485,9.909115
S06900,FIRENZE CAMPO MARTE,43.782792,11.275714
S06419,FIRENZE CASTELLO,43.814885,11.223797
S06420,FIRENZE RIFREDI,43.787493,11.242009
S06421,FIRENZE SANTA MARIA NOVELLA,43.776205,11.246908
N_B3C4DE6A4D7A,FISCIANO,40.761094,14.775689
N_052A3B36A270,FIUMEFREDDO DI SICILIA,37.795842,15.20575
S08411,FIUMICINO AEROPORTO,41.793437,12.252024
S11100,FOGGIA,41.499701,15.331831
S07217,FOLIGNO,42.954275,12.710813
S06033,FOLLONICA,42.921625,10.760511
N_13854A10609D,FORENZA,40.859583,15.855268
S05059,FORLI\',,
N_A9BCEF1E23FE,FORLI`,44.223974,12.054721
S08640,FORMIA-GAETA,41.258538,13.606147
S05183,FORMIGINE,44.593873,10.856774
N_088F9E806AB1,FORNACI DI BARGA,44.045225,10.479105
S06153,FORNOVO,44.693669,10.102206
S02011,FORTEZZA,46.7889,11.61029
S07018,FOSSACESIA-TORINO DI SANGRO,42.221055,14.50161
S00606,FOSSANO,44.517742,7.647289
S07813,FRANCAVILLA AL MARE,42.364997,13.886643
N_AC5E90396EAC,FRANCAVILLA FONTANA,40.593438,17.560725
S08751,FRASCATI,41.813443,12.670353
N_CDA8A1D75E11,FRASSO T. DUGENTA,41.149076,14.491409
S09522,FRATTE,40.699409,14.775615
S08662,FROSINONE,41.645857,13.258134
S12305,GALATI,,
S01030,GALLARATE,45.653752,8.78326
N_2F383E08F558,GARBAGNATE M.SE,45.580536,9.080884
S01074,GARBAGNATE MILANESE,45.580197,9.081398
S01073,GARBAGNATE PARCO DELLE GROANE,,
S03019,GEMONA DEL FRIULI,46.274283,13.128643
N00031,GEMONIO,,
N_218815BA65F8,GENOVA ACQUASANTA,44.458694,8.773078
N_428B5679FEFA,GENOVA BORZOLI,44.434698,8.866611
S04702,GENOVA BRIGNOLE,44.407335,8.945754
S04707,GENOVA NERVI,44.383456,9.042891
N_66EFE7185ACC,GENOVA P.PRINCIPE,44.41702,8.92113
S04700,GENOVA PIAZZA PRINCIPE,44.416552,8.92193
S04217,GENOVA PONTEDECIMO,44.48739,8.897427
S04704,GENOVA QUARTO DEI MILLE,44.388384,8.995882
S04220,GENOVA SAMPIERDARENA,44.413181,8.887388
N_BF1408138E38,GENOVA SESTRI PONENTE,44.418693,8.858928
S04537,GENOVA SESTRI PONENTE AEROPORTO,44.42249,8.848025
S04534,GENOVA VOLTRI,44.428556,8.759009
N00014,GERENZANO - TURATE,,
S00096,GERMAGNANO,,
S12138,GIACHERY,38.13507,13.358276
S12308,GIAMPILIERI,38.063904,15.479477
S12324,GIARRE RIPOSTO,37.689335,15.191684
N_234AF1D1E980,GIOIA DEL COLLE,40.797366,16.916991
N_2989A35B7808,GIOIOSA JONICA,38.331844,16.300935
N_D511F9F116D9,GIOVINAZZO,41.187484,16.67168
S07802,GIULIANOVA,42.714632,13.921511
N_8CC5E83ABB23,GOLFO ARANCI,40.995006,9.627043
S02344,GONZAGA-REGGIOLO,,
S03304,GORIZIA CENTRALE,45.933037,13.606852
N_985207CAA3A8,GOZZANO,45.741157,8.438783
N_1E2B09B172DF,GRAMMICHELE,37.209339,14.641068
S06801,GRANAIOLO,43.652264,10.945357
S05955,GRANAROLO FAENTINO,,
N00041,GRANDATE - BRECCIA,,
N_4F5CBA982A80,GRASSANO,44.88792,8.762021
N_C08D53653D21,GRICIGNANO,40.973368,14.218917
N_9F3E9BB3C0FD,GRIGNO,46.015413,11.625832
S02579,GRISIGNANO DI ZOCCO,45.493332,11.709567
S05133,GRIZZANA,,
S06039,GROSSETO,42.981223,11.359827
S11602,GROTTAGLIE,40.529114,17.424401
N_7B11452FA4A1,GRUMELLO DEL MONTE,45.637181,9.876759
S05960,GUASTALLA,44.921152,10.653999
S08506,GUIDONIA-MONTECELIO-S.ANGELO,,
S05818,IGEA MARINA,44.150245,12.460924
N_CB95E7379995,IGLESIAS,39.3098,8.539854
S05054,IMOLA,44.358967,11.718779
S04523,IMPERIA,43.910348,7.892839
N00210,ISEO,45.660164,10.053412
S09053,ISERNIA,41.60289,14.239997
S12129,ISOLA DELLE FEMMINE,38.19483,13.250099
S00154,IVREA,45.461401,7.876238
S07202,JESI,43.520751,13.251969
N_3EFE9B98DFF7,JOPPOLO,38.602668,15.858706
N_9111A3F8285D,LA GIUSTINIANA,42.001931,12.490436
S06000,LA SPEZIA CENTRALE,44.111564,9.81358
N_89F54DBB8C9C,LA SPEZIA MIGLIARINA,44.116734,9.836284
S08320,LA STORTA,42.002846,12.382717
S08021,LADISPOLI-CERVETERI,41.953294,12.081971
S01094,LAMBRUGO - LURAGO D\'ERBA,,
S11749,LAMEZIA TERME CENTRALE,38.921318,16.255528
S11951,LAMEZIA TERME NICASTRO,38.967095,16.320008
S08733,LANUVIO,41.674869,12.689089
S08608,LATINA,41.495514,13.03902
N_75FF6F509037,LATISANA LIGNANO B.,45.688963,13.135887
N_098D485D9D54,LAVENO,45.903255,8.624415
S01118,LAVENO MOMBELLO,45.903255,8.624415
S01747,LAVENO MOMBELLO LAGO,45.908345,8.618709
S05806,LAVEZZOLA,44.559574,11.880064
S11145,LECCE,40.003214,18.159129
S01520,LECCO,45.837941,9.404936
N_DFC1558BC340,LECCO MAGGIANICO,45.837941,9.404936
S02366,LEGNAGO,45.18923,11.305777
S02373,LENDINARA,,
N_21C031364364,LENTINI,37.300829,14.997506
S12239,LEONFORTE-PIRATO,,
N_323CCCEE5025,LETOJANNI,37.877479,15.303309
S04731,LEVANTO,44.171636,9.612265
N_291CAC9E4988,LIERNA,45.959202,9.302478
S00617,LIMONE,44.203698,7.577695
S06725,LIVORNO CENTRALE,43.554185,10.336066
S04519,LOANO,44.122028,8.253853
S11851,LOCRI,38.23325,16.264657
S01825,LODI,45.294184,9.373522
S00405,LOMELLO,,
N_9743A2A6D9B4,LONGARONE ZOLDO,46.26754,12.301848
S05423,LOREO,,
S07503,LORETO,43.446573,13.620984
S06404,LUCCA,44.00349,10.551788
S05951,LUGO,44.423765,11.892588
S01113,LUINO,46.000966,8.741383
N_B5C3A7A72A78,LUNGHEZZA,41.915517,12.634524
S07414,L\'AQUILA,42.065101,13.585772
N_6C88D68D6E24,L`AQUILA,42.065101,13.585772
N_4668F72F4E34,MACCARESE,41.877763,12.239221
S08020,MACCARESE-FREGENE,41.878648,12.238117
S07307,MACERATA,43.28803,13.647882
S12869,MACOMER,40.268844,8.772712
N_5C56B8466859,MAERNE DI MARTELLAGO,45.514704,12.150568
S07002,MAGIONE,43.106116,12.187725
N_271FD3BAF268,MALPENSA AEROPORTO T2,45.650635,8.721936
S01139,MALPENSA AEROPORTO TERMINAL 1,,
S01146,MALPENSA AEROPORTO TERMINAL 2,45.650263,8.720149
N_5306D21208AD,MANDELA-SAMBUCI,42.016772,12.922592
N_8BC5B363147A,MANDELLO DEL LARIO,45.937685,9.31305
N_66FA1C868B7D,MANFREDONIA,41.569921,15.841672
S03084,MANIAGO,46.162114,12.692326
N_5779F9930799,MANOPPELLO,42.306999,14.061189
S02336,MANTOVA,45.25331,10.791511
N_833AAA8C1DF7,MARANO TICINO,45.630733,8.628618
N_EC7D56DFC5F2,MARATEA,40.03515,15.671858
N_AF14E5667D72,MARCELLINA-PALOMBARA,41.999656,12.791368
N_F48C167F06AB,MARCIANISE,41.03588,14.287831
S08716,MARECHIARO,41.47262,12.613122
N00068,MARIANO COMENSE,45.698107,9.182837
N_B7CA17586A90,MARINO,42.843235,13.632997
N_ADC35E117475,MAROTTA MONDOLFO,43.769592,13.137047
N_12B942CEE428,MARRADI,44.079758,11.618704
S06610,MARRADI-PALAZZUOLO SUL SENIO,44.079738,11.61903
S12107,MARSALA,,
S13104,MARTINA FRANCA,40.595518,17.44154
S05105,MARZABOTTO,44.341269,11.207078
S06009,MASSA CENTRO,44.023747,10.136159
N00066,MEDA,45.662262,9.147424
S01822,MELEGNANO,45.354068,9.324131
N_8871845CF0C3,MELFI,40.98992,15.647094
S11863,MELITO DI PORTO SALVO,37.916936,15.780776
S02216,MERANO,46.673956,11.148373
N_ABD8F603398E,MERCATELLO,42.969195,12.26666
S09706,MERCATO S.SEVERINO,40.783217,14.75968
N00073,MERONE,,
S12301,MESSINA CENTRALE,38.185258,15.560908
S11461,METAPONTO,40.368627,16.81505
N_742441A837EF,MI.P.GENOVA,45.453733,9.170168
N_C3281C4D6103,MIGNANEGO,44.54833,8.915657
N_C57D867C3F5A,MILANO BOVISA,45.502249,9.159021
S01642,MILANO BOVISA POLITECNICO,45.502216,9.159295
S01066,MILANO CADORNA,45.468405,9.175523
S01700,MILANO CENTRALE,45.497672,9.231806
S01640,MILANO CERTOSA,45.40228,9.271476
S01067,MILANO DOMODOSSOLA,,
S01326,MILANO GRECO PIRELLI,45.512889,9.214188
S01701,MILANO LAMBRATE,45.470398,9.240664
N_8C8FB2529F4E,MILANO LANCETTI,45.493595,9.177092
S01645,MILANO PORTA GARIBALDI,45.49044,9.204148
S01631,MILANO PORTA GENOVA,,
N_7A06B48C8E21,MILANO PORTA VITTORIA,45.459517,9.223943
S01069,MILANO QUARTO OGGIARO,,
S01820,MILANO ROGOREDO,45.454742,9.238632
S01630,MILANO S.CRISTOFORO,45.441333,9.157126
N_8DE028B1AD6F,MILANO VILLAPIZZONE,45.500546,9.13783
N_13C257760C54,MILAZZO,38.197556,15.258054
S11790,MILETO,,
N_FE865763BA15,MINTURNO,41.257854,13.720772
S09150,MINTURNO-SCAURI,41.257854,13.720772
S06227,MINUCCIANO-PIEVE-CASOLA,44.194373,10.193839
S00201,MODANE,43.452059,11.353277
S05032,MODENA,44.560471,10.817555
S05188,MODENA PIAZZA MANZONI,44.634429,10.931168
S12417,MODICA,36.853035,14.754057
N_679CEA4D4DF4,MOLFETTA,41.196195,16.596607
S01458,MOLTENO,45.780639,9.301724
N_591B9E61A065,MOMBARUZZO,44.771349,8.448909
N_9A50A9DEDB4A,MONCALIERI,44.996657,7.685281
S03310,MONFALCONE,45.792262,13.560172
S11129,MONOPOLI,,
S05703,MONSELICE,41.879965,12.522478
S08008,MONTALTO DI CASTRO,42.342372,11.594907
N_98AFFDD0B260,MONTE S.BIAGIO,41.346097,13.347026
S02570,MONTEBELLUNA,45.75363,12.050123
N_30FAE1AF40EC,MONTECATINI TERME,43.880572,10.776342
S06411,MONTECATINI TERME-MONSUMMANO,43.879297,10.780721
N_22CF3A0E5B0D,MONTEFIASCONE,42.537925,12.030997
S01535,MONTELLO GORLAGO,45.670157,9.808499
S12203,MONTEMAGGIORE BELSITO,,
N_64C587A740D1,MONTEMARCIANO,43.639643,13.30953
S06038,MONTEPESCALI,42.882472,11.086594
S06855,MONTEPULCIANO,43.137867,11.853717
N_3C16129240F6,MONTEREALE VALCELLINA,46.148809,12.656178
S06871,MONTERONI D\'ARBIA,,
N_E586B8FC8D6C,MONTERONI D`ARBIA,43.229875,11.420063
N_F80F4BC5A58C,MONTEROSSO,43.460668,12.819786
N_7D951F72660E,MONTEROTONDO,42.051799,12.618397
S08215,MONTEROTONDO-MENTANA,42.064094,12.595845
S05801,MONTESANTO,40.847575,14.244122
S07808,MONTESILVANO,,
S06910,MONTEVARCHI TERRANUOVA,43.525337,11.564051
N_EF81163A392F,MONTI TELTI,40.829904,9.322342
N_E6C5A8B8ADA3,MONTIRONE,45.449825,10.241233
S01322,MONZA,45.625743,9.207065
N_B70282D65CA7,MORNAGO CIMBRO,45.729842,8.734423
N_D3AF9F7709CF,MOROLO,41.706485,13.106285
S00034,MORTARA,45.252135,8.731798
S12105,MOZIA-BIRGI,37.884936,12.499167
N_9279A2FB97D3,MOZZECANE,45.309885,10.818586
S09988,NAPOLI AFRAGOLA,40.935857,14.334633
S09103,NAPOLI CAMPI FLEGREI,40.822534,14.194456
