giorno,ora,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2026-02-15,11:00,293,290,1,2,0,0,114,31,148,31,13,8,1,0,514,435,79,0.2696245733788396,-1.0,5.0,8.0,1
2026-02-15,12:00,321,316,4,0,1,0,128,35,158,35,16,11,5,1,779,408,371,1.1557632398753894,0.0,5.0,9.0,5
2026-02-15,13:00,342,339,3,0,0,0,136,38,168,38,21,14,6,0,788,523,265,0.7748538011695907,0.0,5.0,11.0,3
2026-02-15,14:00,339,336,2,1,0,0,135,46,158,46,16,10,3,0,665,423,242,0.7138643067846607,0.0,5.0,7.099999999999966,2
2026-02-15,15:00,344,336,6,2,0,0,137,45,162,45,17,10,4,1,793,409,384,1.1162790697674418,0.0,6.0,8.849999999999966,6
2026-02-15,16:00,355,348,2,5,0,0,170,41,144,41,13,7,6,1,798,393,405,1.1408450704225352,0.0,5.0,8.0,2
2026-02-15,17:00,380,372,6,2,0,0,151,61,168,61,30,14,3,0,988,475,513,1.35,0.0,7.0,13.0,6
2026-02-15,18:00,378,372,4,2,0,0,166,66,146,66,16,7,3,1,945,408,537,1.4206349206349207,1.0,6.0,9.0,4
2026-02-15,19:00,347,345,1,1,0,0,153,52,142,52,16,9,2,0,798,365,433,1.247838616714697,0.0,6.0,8.699999999999989,1
2026-02-15,20:00,309,306,1,2,0,0,125,34,150,34,8,1,0,0,439,434,5,0.0161812297734627,0.0,5.0,6.0,1
2026-02-15,21:00,217,214,1,2,0,0,100,18,99,18,4,3,2,0,336,248,88,0.4055299539170507,0.0,4.0,6.0,1
2026-02-15,22:00,124,124,0,0,0,0,50,6,68,6,1,0,0,0,92,159,-67,-0.5403225806451613,-1.0,2.0,3.8499999999999934,0
2026-02-15,23:00,9,9,0,0,0,0,1,0,8,0,0,0,0,0,0,14,-14,-1.5555555555555556,-1.0,-0.7999999999999998,-0.4000000000000003,0
