mese,categoria,cod_stazione,ruolo,oltre_10,info_mancante,in_ritardo,in_orario,parzialmente_cancellate,in_anticipo,minuti_ritardo_tot,oltre_5,corse_osservate,oltre_15,oltre_30,minuti_anticipo_tot,oltre_60,effettuate,soppresse,cancellate_tot,minuti_netti_tot,cancellate,nome_stazione,ritardo_medio,ritardo_mediano,p95,p90
2026-03,FR,S09823,partenza,4,0,8,5,0,15,146.0,8,28,4,1,70.0,0,28,0,0,76.0,0,BATTIPAGLIA,2.7142857142857144,-1.0,24.95,20.200000000000006
2026-03,FR,S11019,arrivo,1,0,1,0,0,0,75.0,1,1,1,1,0.0,1,0,0,1,75.0,1,TERMOLI,75.0,75.0,75.0,75.0
2026-03,FR,S11100,arrivo,7,0,9,6,0,28,200.0,9,43,5,3,145.0,0,43,0,0,55.0,0,FOGGIA,1.2790697674418603,-4.0,33.19999999999999,16.400000000000013
2026-03,FR,S11100,partenza,10,0,22,14,0,9,249.0,22,45,3,0,70.0,0,45,0,0,179.0,0,FOGGIA,3.977777777777778,4.0,15.599999999999994,13.0
2026-03,FR,S11108,arrivo,1,0,1,1,0,1,12.0,1,3,0,0,1.0,0,3,0,0,11.0,0,BARLETTA,3.6666666666666665,2.0,9.2,8.4
2026-03,FR,S11108,partenza,0,0,3,0,0,0,23.0,3,3,0,0,0.0,0,3,0,0,23.0,0,BARLETTA,7.666666666666667,7.0,8.8,8.6
2026-03,FR,S11119,arrivo,15,0,24,17,0,23,471.0,24,64,9,5,118.0,1,64,0,0,353.0,0,BARI CENTRALE,5.515625,1.0,36.85,19.40000000000001
2026-03,FR,S11119,partenza,33,0,54,21,0,3,859.0,54,78,16,5,19.0,1,78,0,0,840.0,0,BARI CENTRALE,10.76923076923077,7.0,32.0,22.19999999999999
2026-03,FR,S11136,arrivo,1,0,1,0,0,0,111.0,1,1,1,1,0.0,1,0,0,1,111.0,1,BRINDISI,111.0,111.0,111.0,111.0
2026-03,FR,S11145,arrivo,47,0,80,61,0,88,1817.0,80,229,34,20,339.0,6,229,0,0,1478.0,0,LECCE,6.454148471615721,2.0,39.19999999999999,25.200000000000017
2026-03,FR,S11145,partenza,58,0,78,46,0,130,2041.0,78,254,44,20,978.0,7,253,0,1,1063.0,1,LECCE,4.18503937007874,-1.0,44.04999999999998,23.700000000000017
2026-03,FR,S11465,arrivo,16,0,19,6,0,5,472.0,19,30,15,8,7.0,0,30,0,0,465.0,0,TARANTO,15.5,14.0,39.19999999999998,36.1
2026-03,FR,S11465,partenza,16,0,16,9,0,4,501.0,16,29,13,5,13.0,1,29,0,0,488.0,0,TARANTO,16.82758620689655,13.0,50.59999999999995,34.0
2026-03,FR,S11781,arrivo,37,0,61,23,0,76,1528.0,61,160,27,17,456.0,5,160,0,0,1072.0,0,REGGIO DI CALABRIA CENTRALE,6.7,1.0,44.14999999999995,31.19999999999999
2026-03,FR,S11781,partenza,65,0,100,40,0,37,2061.0,100,177,37,19,170.0,7,177,0,0,1891.0,0,REGGIO DI CALABRIA CENTRALE,10.68361581920904,6.0,49.19999999999999,30.400000000000013
2026-03,FR,S11811,arrivo,21,0,28,3,0,0,505.0,28,31,16,2,0.0,0,31,0,0,505.0,0,SIBARI,16.29032258064516,17.0,31.5,27.0
2026-03,FR,S11811,partenza,12,0,19,11,0,1,282.0,19,31,6,1,2.0,0,31,0,0,280.0,0,SIBARI,9.03225806451613,7.0,24.5,22.0
2026-03,IC,S00219,arrivo,17,0,33,38,2,38,853.0,33,109,10,5,144.0,3,107,0,2,709.0,0,TORINO PORTA NUOVA,6.504587155963303,1.0,27.799999999999983,14.0
2026-03,IC,S00219,partenza,15,0,30,28,0,53,721.0,30,111,11,5,308.0,2,110,0,1,413.0,1,TORINO PORTA NUOVA,3.720720720720721,0.0,20.5,14.0
2026-03,IC,S01301,arrivo,1,0,1,0,0,0,18.0,1,1,1,0,0.0,0,1,0,0,18.0,0,CHIASSO,18.0,18.0,18.0,18.0
2026-03,IC,S01645,partenza,13,0,16,10,0,5,573.0,16,31,10,5,11.0,4,31,0,0,562.0,0,MILANO PORTA GARIBALDI,18.12903225806452,8.0,76.5,65.0
2026-03,IC,S01700,arrivo,151,0,244,188,0,251,5433.0,244,683,107,42,1126.0,14,679,1,3,4307.0,3,MILANO CENTRALE,6.306002928257687,2.0,34.0,20.800000000000068
2026-03,IC,S01700,partenza,127,0,217,165,0,281,4608.0,217,663,78,33,1108.0,13,657,0,6,3500.0,6,MILANO CENTRALE,5.279034690799397,1.0,28.89999999999998,16.0
2026-03,IC,S01860,arrivo,0,0,0,1,0,0,2.0,0,1,0,0,0.0,0,0,0,1,2.0,1,PAVIA,2.0,2.0,2.0,2.0
2026-03,IC,S02001,partenza,1,0,2,1,0,0,18.0,2,3,0,0,0.0,0,3,0,0,18.0,0,BRENNERO,6.0,7.0,9.7,9.4
2026-03,IC,S02026,arrivo,8,0,15,15,0,6,498.0,15,36,5,4,13.0,2,34,2,0,485.0,0,BOLZANO,13.47222222222222,2.5,64.5,29.0
2026-03,IC,S02026,partenza,2,0,7,7,0,13,92.0,7,27,2,0,34.0,0,26,0,1,58.0,1,BOLZANO,2.1481481481481484,0.0,16.699999999999992,7.200000000000006
2026-03,IC,S02430,partenza,0,0,0,3,0,0,0.0,0,3,0,0,0.0,0,0,2,1,0.0,1,VERONA PORTA NUOVA,0.0,0.0,0.0,0.0
2026-03,IC,S02593,arrivo,1,0,2,1,0,0,18.0,2,3,0,0,0.0,0,3,0,0,18.0,0,VENEZIA S.LUCIA,6.0,7.0,9.7,9.4
2026-03,IC,S02593,partenza,1,0,1,0,0,0,18.0,1,1,1,0,0.0,0,1,0,0,18.0,0,VENEZIA S.LUCIA,18.0,18.0,18.0,18.0
2026-03,IC,S03200,arrivo,0,0,0,1,0,0,4.0,0,1,0,0,0.0,0,0,0,1,4.0,1,PORTOGRUARO CAORLE,4.0,4.0,4.0,4.0
2026-03,IC,S03317,arrivo,10,0,15,20,0,27,336.0,15,62,9,2,99.0,0,61,1,0,237.0,0,TRIESTE CENTRALE,3.8225806451612905,1.0,25.0,19.7
2026-03,IC,S03317,partenza,4,0,5,17,0,44,82.0,5,66,0,0,324.0,0,65,0,1,-242.0,1,TRIESTE CENTRALE,-3.6666666666666665,-3.0,10.0,4.0
2026-03,IC,S04501,arrivo,31,0,55,52,0,101,1054.0,55,208,22,9,368.0,2,208,0,0,686.0,0,VENTIMIGLIA,3.298076923076923,0.0,25.0,16.0
2026-03,IC,S04501,partenza,39,0,62,65,0,80,1091.0,62,207,27,6,293.0,0,206,0,1,798.0,1,VENTIMIGLIA,3.8550724637681157,1.0,23.69999999999999,17.400000000000006
2026-03,IC,S04515,arrivo,0,0,0,1,0,0,4.0,0,1,0,0,0.0,0,0,0,1,4.0,1,ALASSIO,4.0,4.0,4.0,4.0
2026-03,IC,S04700,arrivo,1,0,2,1,0,0,20.0,2,3,0,0,0.0,0,1,0,2,20.0,2,GENOVA PIAZZA PRINCIPE,6.666666666666667,7.0,10.6,10.2
2026-03,IC,S04700,partenza,1,0,2,1,0,0,24.0,2,3,1,0,0.0,0,1,0,2,24.0,2,GENOVA PIAZZA PRINCIPE,8.0,5.0,14.0,13.0
2026-03,IC,S04702,arrivo,2,0,10,10,0,9,120.0,10,29,1,1,63.0,0,29,0,0,57.0,0,GENOVA BRIGNOLE,1.9655172413793105,3.0,11.99999999999999,9.0
2026-03,IC,S04702,partenza,1,0,7,12,0,11,71.0,7,30,0,0,37.0,0,30,0,0,34.0,0,GENOVA BRIGNOLE,1.1333333333333333,1.0,7.549999999999997,7.0
2026-03,IC,S04725,arrivo,6,0,9,5,0,16,199.0,9,30,4,3,75.0,0,29,0,1,124.0,1,SESTRI LEVANTE,4.133333333333334,-1.0,35.19999999999998,16.800000000000026
2026-03,IC,S04725,partenza,5,0,8,13,0,10,159.0,8,31,4,1,36.0,0,31,0,0,123.0,0,SESTRI LEVANTE,3.967741935483871,1.0,17.0,16.0
2026-03,IC,S04801,arrivo,2,0,3,9,0,29,65.0,3,41,1,1,172.0,0,40,0,1,-107.0,1,SAVONA,-2.609756097560976,-4.0,7.0,2.0
2026-03,IC,S04801,partenza,9,0,16,13,0,12,237.0,16,41,5,1,42.0,0,40,0,1,195.0,1,SAVONA,4.7560975609756095,2.0,26.0,16.0
2026-03,IC,S05000,arrivo,0,0,1,0,0,1,9.0,1,2,0,0,1.0,0,1,0,1,8.0,1,PIACENZA,4.0,4.0,8.5,8.0
2026-03,IC,S05043,arrivo,3,0,6,1,0,4,142.0,6,11,2,1,24.0,1,6,0,5,118.0,5,BOLOGNA CENTRALE,10.727272727272728,6.0,52.5,29.0
2026-03,IC,S05043,partenza,1,0,2,3,0,2,32.0,2,7,1,0,23.0,0,6,1,0,9.0,0,BOLOGNA CENTRALE,1.2857142857142858,4.0,13.599999999999994,11.200000000000005
2026-03,IC,S06000,arrivo,9,0,15,12,0,53,221.0,15,80,3,1,236.0,0,80,0,0,-15.0,0,LA SPEZIA CENTRALE,-0.1875,-2.5,12.0,10.0
2026-03,IC,S06000,partenza,12,0,20,23,0,35,321.0,20,78,3,3,150.0,0,77,0,1,171.0,1,LA SPEZIA CENTRALE,2.1923076923076925,1.0,13.149999999999991,12.0
2026-03,IC,S06039,arrivo,4,0,8,3,0,20,96.0,8,31,2,0,108.0,0,31,0,0,-12.0,0,GROSSETO,-0.3870967741935484,-4.0,14.5,10.0
2026-03,IC,S06039,partenza,5,0,13,6,0,12,174.0,13,31,3,2,70.0,0,31,0,0,104.0,0,GROSSETO,3.3548387096774195,2.0,25.5,12.0
2026-03,IC,S06416,arrivo,0,0,2,0,0,4,11.0,2,6,0,0,10.0,0,6,0,0,1.0,0,PRATO CENTRALE,0.1666666666666666,-2.0,5.75,5.5
2026-03,IC,S06416,partenza,0,0,0,3,0,2,9.0,0,5,0,0,22.0,0,5,0,0,-13.0,0,PRATO CENTRALE,-2.6,2.0,3.8,3.6
2026-03,IC,S06421,arrivo,2,0,4,3,0,19,74.0,4,26,1,1,110.0,0,26,0,0,-36.0,0,FIRENZE SANTA MARIA NOVELLA,-1.3846153846153846,-4.0,11.0,5.0
2026-03,IC,S06421,partenza,0,0,0,3,0,23,5.0,0,26,0,0,197.0,0,26,0,0,-192.0,0,FIRENZE SANTA MARIA NOVELLA,-7.384615384615385,-9.5,1.5,-0.5
2026-03,IC,S06725,arrivo,15,0,28,36,0,42,624.0,28,106,9,4,91.0,2,105,0,1,533.0,1,LIVORNO CENTRALE,5.028301886792453,1.0,23.25,13.0
