mese,categoria,cod_stazione,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ruolo,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,IC,S01645,0,20,0,19.0,3,510.0,20,2,11,0,13,9,13,0,0,5,5,529.0,nodo,MILANO PORTA GARIBALDI,11.0,104.70000000000002,25.5,67.00000000000006
2024-06,IC,S01700,0,859,0,606.0,49,13698.0,859,168,355,0,524,258,524,0,0,143,161,14304.0,nodo,MILANO CENTRALE,7.5,61.94999999999999,15.912190709424054,41.5
2024-06,IC,S02011,0,2,0,0.0,0,38.0,2,1,1,0,1,1,1,0,0,1,0,38.0,nodo,FORTEZZA,19.0,19.0,19.0,19.0
2024-06,IC,S02026,0,11,0,15.0,1,206.0,11,3,3,0,4,3,4,0,0,1,4,221.0,nodo,BOLZANO,1.0,73.65,17.4,53.8
2024-06,IC,S02114,0,2,0,0.0,0,39.0,2,0,1,0,2,1,2,0,0,1,0,39.0,nodo,S.CANDIDO,19.5,32.55,19.5,31.1
2024-06,IC,S03317,0,104,0,85.0,6,1143.0,104,39,26,0,40,20,40,0,0,10,24,1228.0,nodo,TRIESTE CENTRALE,3.5,56.024999999999935,11.406273620559336,36.65000000000002
2024-06,IC,S04203,0,3,0,2.0,0,11.0,3,0,1,0,1,0,1,0,0,0,1,13.0,nodo,NOVI LIGURE,5.5,5.5,5.5,5.5
2024-06,IC,S04501,0,230,0,55.0,7,3937.0,230,37,124,0,171,90,171,0,0,43,21,3992.0,nodo,VENTIMIGLIA,12.5,46.29999999999998,16.196114996114996,36.25000000000001
2024-06,IC,S04702,0,39,0,83.0,0,27.0,39,13,3,0,10,1,10,0,0,0,16,110.0,nodo,GENOVA BRIGNOLE,0.0,10.325000000000005,0.6394736842105264,6.65
2024-06,IC,S04725,0,42,0,30.0,3,563.0,42,14,9,0,16,6,16,0,0,4,12,593.0,nodo,SESTRI LEVANTE,3.5,46.0,13.404761904761902,45.0
2024-06,IC,S04801,0,26,0,18.0,0,127.0,26,7,5,0,11,4,11,0,0,0,7,145.0,nodo,SAVONA,3.25,19.5,5.080128205128204,15.050000000000002
2024-06,IC,S05058,0,1,0,0.0,0,3.0,1,1,0,0,0,0,0,0,0,0,0,3.0,nodo,FAENZA,3.0,3.0,3.0,3.0
2024-06,IC,S06000,0,87,0,41.0,3,1188.0,87,17,36,0,57,22,57,0,0,11,12,1229.0,nodo,LA SPEZIA CENTRALE,7.75,44.99999999999999,13.869588744588745,34.75000000000001
2024-06,IC,S06026,0,2,0,2.0,0,26.0,2,0,1,0,1,1,1,0,0,0,1,28.0,nodo,CECINA,13.0,13.0,13.0,13.0
2024-06,IC,S06039,0,45,0,60.0,0,371.0,45,5,16,0,25,11,25,0,0,4,15,431.0,nodo,GROSSETO,4.0,29.7,8.375494071146246,23.85000000000001
2024-06,IC,S06416,0,97,0,76.0,4,1321.0,97,21,44,0,58,33,58,0,0,14,18,1397.0,nodo,PRATO CENTRALE,8.0,44.67499999999997,13.09815668202765,32.4
2024-06,IC,S06500,0,1,0,0.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,1.0,nodo,PISA CENTRALE,1.0,1.0,1.0,1.0
2024-06,IC,S06725,0,212,0,135.0,8,2330.0,212,44,74,0,116,48,116,0,0,28,51,2465.0,nodo,LIVORNO CENTRALE,5.25,46.22499999999999,10.97018018018018,32.65000000000001
2024-06,IC,S06915,0,2,0,0.0,2,215.0,2,0,2,0,2,2,2,0,0,2,0,215.0,nodo,AREZZO,107.5,107.5,107.5,107.5
2024-06,IC,S07004,0,38,0,4.0,1,406.0,38,11,13,0,23,6,23,0,0,3,4,410.0,nodo,PERUGIA,7.0,31.949999999999903,10.68421052631579,19.5
2024-06,IC,S07113,0,52,0,59.0,3,506.0,52,17,10,0,15,7,15,0,0,6,20,565.0,nodo,ANCONA,1.0,39.39999999999999,9.411851851851852,25.90000000000004
2024-06,IC,S07217,0,1,0,0.0,0,2.0,1,1,0,0,0,0,0,0,0,0,0,2.0,nodo,FOLIGNO,2.0,2.0,2.0,2.0
2024-06,IC,S07226,0,45,0,7.0,2,778.0,45,6,32,0,37,22,37,0,0,8,2,785.0,nodo,TERNI,14.25,46.42499999999998,17.384387351778656,31.450000000000006
2024-06,IC,S07503,0,2,0,0.0,0,44.0,2,0,2,0,2,2,2,0,0,0,0,44.0,nodo,LORETO,22.0,22.0,22.0,22.0
2024-06,IC,S07513,0,40,0,45.0,0,426.0,40,9,14,0,21,12,21,0,0,5,10,471.0,nodo,S.BENEDETTO DEL TRONTO,3.25,40.650000000000006,10.65,31.00000000000001
2024-06,IC,S07810,0,45,0,4.0,2,562.0,45,8,15,0,34,10,34,0,0,5,3,566.0,nodo,PESCARA,7.75,38.12499999999999,12.512845849802373,24.75000000000001
2024-06,IC,S08409,0,743,0,1052.0,27,6171.0,743,235,182,0,279,134,279,0,0,77,228,7223.0,nodo,ROMA TERMINI,2.5,52.475,8.293704565280605,30.05000000000001
2024-06,IC,S08608,0,1,0,0.0,0,21.0,1,0,1,0,1,1,1,0,0,0,0,21.0,nodo,LATINA,21.0,21.0,21.0,21.0
2024-06,IC,S09003,0,1,0,0.0,0,7.0,1,0,0,0,1,0,1,0,0,0,0,7.0,nodo,VILLA LITERNO,7.0,7.0,7.0,7.0
2024-06,IC,S09218,0,114,0,110.0,9,1736.0,114,29,38,0,55,30,55,0,0,18,30,1846.0,nodo,NAPOLI CENTRALE,5.0,71.25,16.288241074353095,36.90000000000002
2024-06,IC,S09818,0,145,0,302.0,1,498.0,145,43,22,0,41,16,41,0,0,6,61,800.0,nodo,SALERNO,0.0,23.89999999999999,3.3617467581998475,14.700000000000003
2024-06,IC,S09823,0,42,0,48.0,0,131.0,42,21,4,0,12,4,12,0,0,2,9,179.0,nodo,BATTIPAGLIA,1.5,12.0,3.119047619047619,8.0
2024-06,IC,S11119,0,107,0,67.0,10,2124.0,107,24,54,0,62,42,62,0,0,25,21,2191.0,nodo,BARI CENTRALE,9.0,74.875,19.54619364375462,58.75
2024-06,IC,S11145,0,201,0,252.0,17,3061.0,201,50,62,0,89,50,89,0,0,29,62,3313.0,nodo,LECCE,3.5,90.89999999999998,15.401881720430108,52.24999999999997
2024-06,IC,S11461,0,1,0,0.0,1,93.0,1,0,1,0,1,1,1,0,0,1,0,93.0,nodo,METAPONTO,93.0,93.0,93.0,93.0
2024-06,IC,S11465,0,57,0,81.0,2,674.0,57,8,26,0,34,21,34,0,0,5,15,755.0,nodo,TARANTO,7.5,46.07499999999993,11.564814814814817,26.45000000000001
2024-06,IC,S11702,0,1,0,0.0,0,9.0,1,0,0,0,1,0,1,0,0,0,0,9.0,nodo,CAPACCIO ROCCADASPIDE,9.0,9.0,9.0,9.0
2024-06,IC,S11811,0,1,0,2.0,0,-2.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,SIBARI,-2.0,-2.0,-2.0,-2.0
2024-06,IC,S11833,0,10,0,20.0,0,43.0,10,2,3,0,4,3,4,0,0,0,4,63.0,nodo,CATANZARO LIDO,4.75,15.35,5.458333333333333,13.2
2024-06,IC,S11847,0,1,0,0.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,1.0,nodo,ROCCELLA JONICA,1.0,1.0,1.0,1.0
2024-06,IC,S11851,0,1,0,0.0,0,5.0,1,0,0,0,1,0,1,0,0,0,0,5.0,nodo,LOCRI,5.0,5.0,5.0,5.0
2024-06,IC,S12002,0,70,0,260.0,5,509.0,70,18,18,0,31,13,31,0,0,8,20,769.0,nodo,PALERMO CENTRALE,0.5,62.92499999999999,7.036225402504472,38.150000000000006
2024-06,IC,S12022,0,1,0,0.0,1,121.0,1,0,1,0,1,1,1,0,0,1,0,121.0,nodo,TUSA,121.0,121.0,121.0,121.0
2024-06,IC,S12301,0,97,0,259.0,7,1267.0,97,24,36,0,53,27,53,0,0,18,19,1526.0,nodo,MESSINA CENTRALE,6.5,68.1,13.0359477124183,40.90000000000002
2024-06,IC,S12349,0,134,0,123.0,20,3604.0,134,30,60,0,79,48,79,0,0,39,25,3727.0,nodo,SIRACUSA,7.0,91.45,27.104166666666664,70.75
2024-06,ICN,N_DEBAB2A3D4C0,0,24,0,14.0,0,118.0,24,11,6,0,7,3,7,0,0,1,6,132.0,nodo,REGGIO CALABRIA CENTRALE,-0.75,7.925,0.4090909090909091,7.00000000000001
2024-06,ICN,N_FEBDC4EA7CA2,0,104,0,86.0,1,690.0,104,36,25,0,41,16,41,0,0,4,27,776.0,nodo,TORINO P.NUOVA,1.5,16.599999999999994,4.599493670886075,12.099999999999998
2024-06,ICN,S01700,0,62,0,48.0,1,752.0,62,7,29,0,45,19,45,0,0,7,10,800.0,nodo,MILANO CENTRALE,3.5,21.999999999999964,5.265536723163842,15.400000000000002
2024-06,ICN,S02114,0,11,0,2.0,2,387.0,11,4,4,0,5,4,5,0,0,4,2,389.0,nodo,S.CANDIDO,5.75,125.97499999999997,39.64285714285714,104.45000000000005
2024-06,ICN,S03317,0,32,0,8.0,1,286.0,32,14,7,0,11,5,11,0,0,3,7,294.0,nodo,TRIESTE CENTRALE,2.25,36.32499999999997,8.357142857142858,23.50000000000001
2024-06,ICN,S08409,0,95,0,136.0,8,1636.0,95,26,29,0,40,27,40,0,0,20,29,1772.0,nodo,ROMA TERMINI,2.75,65.27499999999996,15.974798387096772,38.35
2024-06,ICN,S09818,0,59,0,56.0,1,431.0,59,19,10,0,24,9,24,0,0,3,16,487.0,nodo,SALERNO,3.0,17.299999999999997,6.011904761904762,14.650000000000002
