mese,tipo_giorno,fascia_oraria,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(-10,-5]",4,0.0,24.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(-15,-10]",1,0.0,12.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(-5,-1]",2,0.0,4.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(1,5]",3,9.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(10,15]",2,26.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,arrivo,"(15,30]",1,23.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(-1,0]",2,0.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(-10,-5]",2,0.0,12.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(1,5]",3,12.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(10,15]",1,11.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(15,30]",1,23.0,0.0
2024-06,weekend,mattina,,N_ACF3D2764DA3,partenza,"(5,10]",1,10.0,0.0
2024-06,weekend,mattina,,N_AF7C7C87621E,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,,N_BF0DC42C9523,arrivo,"(-10,-5]",1,0.0,7.0
2024-06,weekend,mattina,,N_BF0DC42C9523,arrivo,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_BF0DC42C9523,arrivo,"(30,60]",1,47.0,0.0
2024-06,weekend,mattina,,N_BF0DC42C9523,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_BF0DC42C9523,partenza,"(1,5]",1,4.0,0.0
2024-06,weekend,mattina,,N_BF0DC42C9523,partenza,"(10,15]",2,27.0,0.0
2024-06,weekend,mattina,,N_C03F51FB3BED,arrivo,"(15,30]",2,39.0,0.0
2024-06,weekend,mattina,,N_C03F51FB3BED,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_C03F51FB3BED,partenza,"(10,15]",1,11.0,0.0
2024-06,weekend,mattina,,N_C03F51FB3BED,partenza,"(15,30]",1,23.0,0.0
2024-06,weekend,mattina,,N_C22D4B09E695,partenza,"(1,5]",1,4.0,0.0
2024-06,weekend,mattina,,N_C35DAF060D8A,partenza,"(10,15]",1,11.0,0.0
2024-06,weekend,mattina,,N_DD6564CDFB93,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_DEBAB2A3D4C0,arrivo,"(-10,-5]",2,0.0,13.0
2024-06,weekend,mattina,,N_DEBAB2A3D4C0,arrivo,"(-15,-10]",1,0.0,10.0
2024-06,weekend,mattina,,N_DEBAB2A3D4C0,partenza,"(5,10]",2,19.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,arrivo,"(1,5]",2,9.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,arrivo,"(10,15]",4,53.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,arrivo,"(15,30]",1,29.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,partenza,"(-10,-5]",3,0.0,18.0
2024-06,weekend,mattina,,N_E903EB64CBF3,partenza,"(-15,-10]",2,0.0,22.0
2024-06,weekend,mattina,,N_E903EB64CBF3,partenza,"(-5,-1]",3,0.0,8.0
2024-06,weekend,mattina,,N_E903EB64CBF3,partenza,"(1,5]",3,9.0,0.0
2024-06,weekend,mattina,,N_E903EB64CBF3,partenza,"(30,60]",1,47.0,0.0
2024-06,weekend,mattina,,N_EE539AC676E9,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,,N_EE539AC676E9,arrivo,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_EE539AC676E9,arrivo,"(10,15]",1,12.0,0.0
2024-06,weekend,mattina,,N_EE539AC676E9,partenza,"(1,5]",2,8.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(-10,-5]",2,0.0,14.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(-15,-10]",1,0.0,10.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(-5,-1]",3,0.0,10.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(1,5]",1,5.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,arrivo,"(5,10]",3,25.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,partenza,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,,N_F047351D32A4,partenza,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,,N_F047351D32A4,partenza,"(15,30]",1,20.0,0.0
2024-06,weekend,mattina,,N_F047351D32A4,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,,N_F6BAB1C5673F,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(1,5]",3,11.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(10,15]",1,11.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(15,30]",1,20.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,arrivo,"(5,10]",2,17.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,partenza,"(-10,-5]",2,0.0,14.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,partenza,"(-5,-1]",1,0.0,2.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,partenza,"(1,5]",1,5.0,0.0
2024-06,weekend,mattina,,N_FEBDC4EA7CA2,partenza,"(15,30]",2,34.0,0.0
2024-06,weekend,mattina,EC,N_25B9CF10B7D2,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,EC,N_ACF3D2764DA3,partenza,"(-10,-5]",1,0.0,8.0
2024-06,weekend,mattina,EC,N_ACF3D2764DA3,partenza,"(-5,-1]",1,0.0,2.0
2024-06,weekend,mattina,EC,N_CBBFAA6775E8,arrivo,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,EC,N_CBBFAA6775E8,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,EC,N_DF72E0451C21,arrivo,"(-10,-5]",1,0.0,8.0
2024-06,weekend,mattina,EC,N_DF72E0451C21,arrivo,"(-5,-1]",1,0.0,2.0
2024-06,weekend,mattina,EC,N_EE539AC676E9,partenza,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,IC,N_03F21F592247,arrivo,"(10,15]",1,14.0,0.0
2024-06,weekend,mattina,IC,N_03F21F592247,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_03F21F592247,partenza,"(5,10]",1,8.0,0.0
2024-06,weekend,mattina,IC,N_25B9CF10B7D2,arrivo,"(-10,-5]",1,0.0,8.0
2024-06,weekend,mattina,IC,N_25B9CF10B7D2,arrivo,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_25B9CF10B7D2,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_29D6951DFB5A,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_2B5A38574141,arrivo,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_2B5A38574141,partenza,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,IC,N_3A82FA9A0D0C,arrivo,"(30,60]",1,42.0,0.0
2024-06,weekend,mattina,IC,N_3A82FA9A0D0C,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,IC,N_64548ED4BF34,partenza,"(1,5]",1,5.0,0.0
2024-06,weekend,mattina,IC,N_66EFE7185ACC,arrivo,"(1,5]",1,4.0,0.0
2024-06,weekend,mattina,IC,N_6DCA844AE5BC,arrivo,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,IC,N_6DCA844AE5BC,arrivo,"(-5,-1]",1,0.0,2.0
2024-06,weekend,mattina,IC,N_72DA38E192FF,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_AB0F0E99A555,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,arrivo,"(10,15]",1,13.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,arrivo,"(5,10]",1,8.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,partenza,"(-5,-1]",1,0.0,3.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,partenza,"(10,15]",2,29.0,0.0
2024-06,weekend,mattina,IC,N_ACF3D2764DA3,partenza,"(30,60]",1,42.0,0.0
2024-06,weekend,mattina,IC,N_BF0DC42C9523,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_BF0DC42C9523,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,IC,N_BF0DC42C9523,partenza,"(-10,-5]",1,0.0,8.0
2024-06,weekend,mattina,IC,N_BF0DC42C9523,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_C03F51FB3BED,partenza,"(10,15]",1,13.0,0.0
2024-06,weekend,mattina,IC,N_C03F51FB3BED,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,IC,N_C35DAF060D8A,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,IC,N_DD6564CDFB93,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_DD8D6A1F4D25,arrivo,"(-5,-1]",1,0.0,3.0
2024-06,weekend,mattina,IC,N_DEBAB2A3D4C0,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_DEBAB2A3D4C0,partenza,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,IC,N_DEBAB2A3D4C0,partenza,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,IC,N_E3B8163AC6FC,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,arrivo,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,arrivo,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,arrivo,"(5,10]",2,13.0,0.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,partenza,"(-5,-1]",1,0.0,2.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,IC,N_E903EB64CBF3,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,IC,N_F047351D32A4,arrivo,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,IC,N_F047351D32A4,arrivo,"(10,15]",1,15.0,0.0
2024-06,weekend,mattina,IC,N_F0893AF956E9,partenza,"(5,10]",1,7.0,0.0
2024-06,weekend,mattina,IC,N_F6D345743682,arrivo,"(1,5]",1,5.0,0.0
2024-06,weekend,mattina,IC,N_FEBDC4EA7CA2,arrivo,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,IC,N_FEBDC4EA7CA2,partenza,"(1,5]",1,4.0,0.0
2024-06,weekend,mattina,ICN,N_E3B8163AC6FC,arrivo,"(-30,-15]",1,0.0,27.0
2024-06,weekend,mattina,ICN,N_F6D345743682,partenza,"(-30,-15]",1,0.0,27.0
2024-06,weekend,mattina,MET,N_0DCAED7E3CB2,arrivo,"(-5,-1]",2,0.0,3.0
2024-06,weekend,mattina,MET,N_2231A438465D,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,MET,N_2231A438465D,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,MET,N_2231A438465D,arrivo,"(-5,-1]",4,0.0,7.0
2024-06,weekend,mattina,MET,N_2231A438465D,arrivo,"(1,5]",2,7.0,0.0
2024-06,weekend,mattina,MET,N_2231A438465D,partenza,"(-10,-5]",2,0.0,14.0
2024-06,weekend,mattina,MET,N_2231A438465D,partenza,"(-5,-1]",9,0.0,14.0
2024-06,weekend,mattina,MET,N_2231A438465D,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,MET,N_2231A438465D,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,MET,N_42A528D8B57B,arrivo,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,MET,N_42A528D8B57B,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,MET,N_42A528D8B57B,partenza,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,MET,N_42A528D8B57B,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,MET,N_4867F34F8972,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,MET,N_4867F34F8972,arrivo,"(-5,-1]",6,0.0,13.0
2024-06,weekend,mattina,MET,N_4867F34F8972,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,MET,N_4867F34F8972,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,MET,N_4867F34F8972,partenza,"(-1,0]",2,0.0,0.0
2024-06,weekend,mattina,MET,N_4867F34F8972,partenza,"(-5,-1]",5,0.0,8.0
2024-06,weekend,mattina,MET,N_4867F34F8972,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,MET,N_4867F34F8972,partenza,"(1,5]",2,6.0,0.0
2024-06,weekend,mattina,MET,N_5A1ED9B2CC3E,arrivo,"(-5,-1]",2,0.0,3.0
2024-06,weekend,mattina,MET,N_5A1ED9B2CC3E,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,MET,N_C03F51FB3BED,arrivo,"(-10,-5]",1,0.0,9.0
2024-06,weekend,mattina,MET,N_C03F51FB3BED,arrivo,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,MET,N_C03F51FB3BED,partenza,"(-5,-1]",2,0.0,4.0
2024-06,weekend,mattina,MET,N_C03F51FB3BED,partenza,"(1,5]",2,7.0,0.0
2024-06,weekend,mattina,MET,N_D77D870762C5,arrivo,"(-1,0]",2,0.0,0.0
2024-06,weekend,mattina,MET,N_D77D870762C5,arrivo,"(-5,-1]",7,0.0,10.0
2024-06,weekend,mattina,MET,N_D77D870762C5,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,MET,N_D77D870762C5,arrivo,"(1,5]",2,6.0,0.0
2024-06,weekend,mattina,MET,N_D77D870762C5,partenza,"(-5,-1]",7,0.0,15.0
2024-06,weekend,mattina,MET,N_D77D870762C5,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,MET,N_D77D870762C5,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_0042D1DF87B8,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_0042D1DF87B8,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_0042D1DF87B8,partenza,"(-5,-1]",2,0.0,2.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,arrivo,"(-10,-5]",2,0.0,15.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,arrivo,"(-5,-1]",6,0.0,11.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,arrivo,"(10,15]",2,25.0,0.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,arrivo,"(5,10]",1,10.0,0.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,partenza,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,partenza,"(-5,-1]",2,0.0,4.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,partenza,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_0161CF483CE4,partenza,"(5,10]",3,21.0,0.0
2024-06,weekend,mattina,REG,N_02AF18E37314,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,REG,N_02AF18E37314,arrivo,"(-5,-1]",3,0.0,8.0
2024-06,weekend,mattina,REG,N_02AF18E37314,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_02AF18E37314,arrivo,"(1,5]",2,4.0,0.0
2024-06,weekend,mattina,REG,N_02AF18E37314,partenza,"(-10,-5]",2,0.0,15.0
2024-06,weekend,mattina,REG,N_02AF18E37314,partenza,"(-5,-1]",2,0.0,3.0
2024-06,weekend,mattina,REG,N_02AF18E37314,partenza,"(1,5]",2,9.0,0.0
2024-06,weekend,mattina,REG,N_02AF18E37314,partenza,"(5,10]",1,7.0,0.0
2024-06,weekend,mattina,REG,N_03F21F592247,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_03F21F592247,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_03F21F592247,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,REG,N_03F21F592247,partenza,"(-5,-1]",2,0.0,3.0
2024-06,weekend,mattina,REG,N_03F21F592247,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,arrivo,"(-5,-1]",4,0.0,9.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,arrivo,"(1,5]",1,4.0,0.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,partenza,"(-5,-1]",2,0.0,4.0
2024-06,weekend,mattina,REG,N_049B6C1A1016,partenza,"(1,5]",2,6.0,0.0
2024-06,weekend,mattina,REG,N_06F2305DF710,arrivo,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,REG,N_06F2305DF710,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,REG,N_06F2305DF710,partenza,"(-5,-1]",1,0.0,3.0
2024-06,weekend,mattina,REG,N_06F2305DF710,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_0778A78A8E9E,arrivo,"(-10,-5]",4,0.0,21.0
2024-06,weekend,mattina,REG,N_0778A78A8E9E,arrivo,"(-5,-1]",2,0.0,8.0
2024-06,weekend,mattina,REG,N_0778A78A8E9E,partenza,"(-1,0]",2,0.0,0.0
2024-06,weekend,mattina,REG,N_0778A78A8E9E,partenza,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_0778A78A8E9E,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_07E03923EBDB,arrivo,"(-5,-1]",3,0.0,5.0
2024-06,weekend,mattina,REG,N_07E03923EBDB,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_07E03923EBDB,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_0825CE132492,arrivo,"(-1,0]",3,0.0,0.0
2024-06,weekend,mattina,REG,N_0825CE132492,arrivo,"(-10,-5]",1,0.0,5.0
2024-06,weekend,mattina,REG,N_0825CE132492,arrivo,"(-5,-1]",4,0.0,12.0
2024-06,weekend,mattina,REG,N_0825CE132492,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_0825CE132492,partenza,"(-5,-1]",3,0.0,8.0
2024-06,weekend,mattina,REG,N_0825CE132492,partenza,"(0,1]",4,4.0,0.0
2024-06,weekend,mattina,REG,N_0825CE132492,partenza,"(1,5]",3,12.0,0.0
2024-06,weekend,mattina,REG,N_0825CE132492,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,REG,N_08C23BC414B7,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_08C23BC414B7,partenza,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,REG,N_098D485D9D54,arrivo,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,REG,N_098D485D9D54,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_098D485D9D54,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_098D485D9D54,arrivo,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,REG,N_098D485D9D54,partenza,"(1,5]",4,9.0,0.0
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,arrivo,"(-5,-1]",2,0.0,2.0
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,arrivo,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,partenza,"(-1,0]",1,0.0,0.0
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,REG,N_0CC5C72C4FFE,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,REG,N_0D2920696248,partenza,"(5,10]",1,6.0,0.0
2024-06,weekend,mattina,REG,N_0D41A196F1DD,arrivo,"(-5,-1]",2,0.0,2.0
2024-06,weekend,mattina,REG,N_0D41A196F1DD,partenza,"(-5,-1]",2,0.0,2.0
2024-06,weekend,mattina,REG,N_0D41A196F1DD,partenza,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_0DCAED7E3CB2,partenza,"(-5,-1]",1,0.0,3.0
2024-06,weekend,mattina,REG,N_0F912C727550,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_0F912C727550,arrivo,"(1,5]",3,8.0,0.0
2024-06,weekend,mattina,REG,N_0F912C727550,partenza,"(-1,0]",2,0.0,0.0
2024-06,weekend,mattina,REG,N_0F912C727550,partenza,"(-5,-1]",1,0.0,1.0
2024-06,weekend,mattina,REG,N_0F912C727550,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_0F912C727550,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,REG,N_105299730773,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,arrivo,"(-10,-5]",1,0.0,6.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,arrivo,"(-5,-1]",1,0.0,4.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,arrivo,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,arrivo,"(1,5]",1,2.0,0.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,partenza,"(-10,-5]",2,0.0,12.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,partenza,"(-5,-1]",1,0.0,3.0
2024-06,weekend,mattina,REG,N_10FAC90E1EDD,partenza,"(0,1]",1,1.0,0.0
2024-06,weekend,mattina,REG,N_1135E3A06BBC,arrivo,"(-5,-1]",2,0.0,5.0
2024-06,weekend,mattina,REG,N_1135E3A06BBC,partenza,"(1,5]",1,3.0,0.0
2024-06,weekend,mattina,REG,N_1178F7B0850D,arrivo,"(0,1]",2,2.0,0.0
2024-06,weekend,mattina,REG,N_1178F7B0850D,arrivo,"(1,5]",3,7.0,0.0
2024-06,weekend,mattina,REG,N_1178F7B0850D,arrivo,"(5,10]",1,7.0,0.0
2024-06,weekend,mattina,REG,N_1178F7B0850D,partenza,"(-1,0]",3,0.0,0.0
2024-06,weekend,mattina,REG,N_1178F7B0850D,partenza,"(0,1]",1,1.0,0.0
