mese,categoria,tipo_giorno,fascia_oraria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_C317D24D9E8F,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0,MILANO CENTRALE,VENEZIA MESTRE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_D58C6A65D7C1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,274.0,0.0,274.0,274.0,274.0,274.0,274.0,0,MILANO CENTRALE,FOGGIA
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_E903EB64CBF3,15,15,0,0,0,0,7,6,2,6,4,3,2,0,145.0,2.0,143.0,9.533333333333333,3.0,27.599999999999994,41.39999999999998,0,MILANO CENTRALE,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_F047351D32A4,45,45,0,0,0,0,12,9,24,9,3,3,2,2,279.0,77.0,202.0,4.488888888888889,-1.0,7.600000000000001,22.39999999999995,0,MILANO CENTRALE,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_ACF3D2764DA3,N_FEBDC4EA7CA2,30,30,0,0,0,0,14,14,2,14,4,3,1,0,225.0,3.0,222.0,7.4,4.0,14.100000000000001,21.04999999999997,0,MILANO CENTRALE,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_BF0DC42C9523,N_26FAC2401D1E,15,15,0,0,0,0,4,6,5,6,4,3,3,2,201.0,11.0,190.0,12.666666666666666,2.0,56.19999999999999,65.3,0,LECCE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_BF0DC42C9523,N_ACF3D2764DA3,15,15,0,0,0,0,1,14,0,14,12,8,5,1,355.0,0.0,355.0,23.666666666666668,15.0,49.599999999999994,61.49999999999997,0,LECCE,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_BF0DC42C9523,N_E903EB64CBF3,30,30,0,0,0,0,7,22,1,22,17,10,4,1,467.0,2.0,465.0,15.5,10.0,36.30000000000003,58.099999999999994,0,LECCE,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_C03F51FB3BED,N_26FAC2401D1E,30,30,0,0,0,0,10,20,0,20,13,6,4,2,459.0,0.0,459.0,15.3,7.0,49.2,59.24999999999996,0,SALERNO,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_C03F51FB3BED,N_ACF3D2764DA3,15,15,0,0,0,0,3,7,5,7,7,6,5,3,368.0,17.0,351.0,23.4,3.0,66.6,81.69999999999995,0,SALERNO,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_C22D4B09E695,N_E903EB64CBF3,15,15,0,0,0,0,6,2,7,2,1,1,1,1,143.0,15.0,128.0,8.533333333333333,0.0,3.799999999999999,42.499999999999865,0,MANTOVA,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_C317D24D9E8F,N_F047351D32A4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,VENEZIA MESTRE,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_C317D24D9E8F,N_FEBDC4EA7CA2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,0,VENEZIA MESTRE,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_C35DAF060D8A,N_26FAC2401D1E,15,15,0,0,0,0,2,13,0,13,13,9,4,1,384.0,0.0,384.0,25.6,17.0,55.0,66.79999999999997,0,GENOVA BRIGNOLE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_D0B06A5290BB,N_E903EB64CBF3,15,15,0,0,0,0,5,2,8,2,2,0,0,0,33.0,19.0,14.0,0.9333333333333333,-1.0,8.199999999999998,11.299999999999999,0,RAVENNA,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_DD6564CDFB93,N_ACF3D2764DA3,15,15,0,0,0,0,1,14,0,14,12,9,3,1,357.0,0.0,357.0,23.8,19.0,36.599999999999994,58.799999999999926,0,ANCONA,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_DEBAB2A3D4C0,N_26FAC2401D1E,15,15,0,0,0,0,4,11,0,11,7,6,3,0,267.0,0.0,267.0,17.8,8.0,45.599999999999994,55.199999999999996,0,REGGIO CALABRIA CENTRALE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_DEBAB2A3D4C0,N_FEBDC4EA7CA2,30,30,0,0,0,0,6,23,1,23,16,12,7,1,591.0,3.0,588.0,19.6,11.0,44.400000000000006,51.84999999999998,0,REGGIO CALABRIA CENTRALE,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_26FAC2401D1E,15,15,0,0,0,0,4,2,9,2,1,0,0,0,22.0,19.0,3.0,0.2,-1.0,3.799999999999999,6.499999999999995,0,ROMA TERMINI,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_66EFE7185ACC,15,15,0,0,0,0,5,10,0,10,4,1,0,0,99.0,0.0,99.0,6.6,6.0,12.2,14.499999999999995,0,ROMA TERMINI,GENOVA P.PRINCIPE
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_ACF3D2764DA3,45,45,0,0,0,0,11,18,16,18,12,10,4,0,358.0,59.0,299.0,6.644444444444445,2.0,23.800000000000004,37.199999999999974,0,ROMA TERMINI,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_BF0DC42C9523,15,15,0,0,0,0,0,14,1,14,14,13,5,1,420.0,2.0,418.0,27.866666666666667,21.0,54.8,62.19999999999999,0,ROMA TERMINI,LECCE
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_DEBAB2A3D4C0,30,30,0,0,0,0,0,4,26,4,3,2,2,1,121.0,212.0,-91.0,-3.033333333333333,-8.0,5.6000000000000085,28.049999999999912,0,ROMA TERMINI,REGGIO CALABRIA CENTRALE
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_EE539AC676E9,15,15,0,0,0,0,6,6,3,6,3,2,1,1,128.0,12.0,116.0,7.733333333333333,4.0,13.599999999999998,30.999999999999947,0,ROMA TERMINI,BOLZANO
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_F047351D32A4,15,15,0,0,0,0,0,2,13,2,2,2,2,1,121.0,55.0,66.0,4.4,-4.0,33.39999999999998,59.099999999999994,0,ROMA TERMINI,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_E903EB64CBF3,N_FEBDC4EA7CA2,30,30,0,0,0,0,8,15,7,15,9,6,2,0,250.0,19.0,231.0,7.7,4.5,25.300000000000004,32.39999999999998,0,ROMA TERMINI,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_EE539AC676E9,N_ACF3D2764DA3,15,15,0,0,0,0,4,11,0,11,2,0,0,0,99.0,0.0,99.0,6.6,6.0,9.6,11.199999999999996,0,BOLZANO,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_EE539AC676E9,N_E903EB64CBF3,15,15,0,0,0,0,7,7,1,7,6,5,3,2,348.0,3.0,345.0,23.0,4.0,54.99999999999999,99.79999999999987,0,BOLZANO,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_26FAC2401D1E,15,15,0,0,0,0,3,12,0,12,9,6,2,1,293.0,0.0,293.0,19.533333333333335,11.0,43.59999999999999,61.69999999999998,0,NAPOLI CENTRALE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_ACF3D2764DA3,42,42,0,0,0,0,11,15,16,15,8,6,4,2,396.0,74.0,322.0,7.666666666666667,2.0,24.29999999999999,46.74999999999998,0,NAPOLI CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_BAF228E8D2C5,1,1,0,0,0,0,0,1,0,1,1,1,1,0,53.0,0.0,53.0,53.0,53.0,53.0,53.0,0,NAPOLI CENTRALE,MILANO ROGOREDO
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_C549A111741A,1,1,0,0,0,0,0,1,0,1,1,1,1,0,57.0,0.0,57.0,57.0,57.0,57.0,57.0,0,NAPOLI CENTRALE,MILANO LAMBRATE
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_C8DDC789E5D9,1,1,0,0,0,0,0,1,0,1,1,1,1,0,51.0,0.0,51.0,51.0,51.0,51.0,51.0,0,NAPOLI CENTRALE,TRENTO
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_EE539AC676E9,14,14,0,0,0,0,6,5,3,5,3,3,1,1,146.0,6.0,140.0,10.0,3.0,21.60000000000001,43.24999999999998,0,NAPOLI CENTRALE,BOLZANO
2024-06,,infrasettimanale,mattina,N_F047351D32A4,N_FEBDC4EA7CA2,14,14,0,0,0,0,3,10,1,10,8,6,5,4,479.0,4.0,475.0,33.92857142857143,12.0,74.80000000000001,102.59999999999997,0,NAPOLI CENTRALE,TORINO P.NUOVA
2024-06,,infrasettimanale,mattina,N_F6BAB1C5673F,N_E903EB64CBF3,15,15,0,0,0,0,7,4,4,4,3,3,1,1,135.0,10.0,125.0,8.333333333333334,3.0,24.0,36.19999999999996,0,BRESCIA,ROMA TERMINI
2024-06,,infrasettimanale,mattina,N_F6BAB1C5673F,N_F047351D32A4,15,15,0,0,0,0,8,6,1,6,2,0,0,0,77.0,2.0,75.0,5.0,4.0,11.599999999999998,14.0,0,BRESCIA,NAPOLI CENTRALE
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_26FAC2401D1E,14,14,0,0,0,0,3,11,0,11,7,5,2,0,208.0,0.0,208.0,14.857142857142858,10.0,29.700000000000003,33.849999999999994,0,TORINO P.NUOVA,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_6DAD4A05816E,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,TORINO P.NUOVA,FIRENZE S.M.N.
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_C03F51FB3BED,15,15,0,0,0,0,3,5,7,5,4,3,3,1,183.0,22.0,161.0,10.733333333333333,2.0,40.39999999999999,56.499999999999964,0,TORINO P.NUOVA,SALERNO
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_C317D24D9E8F,1,1,0,0,0,0,0,1,0,1,1,1,0,0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,0,TORINO P.NUOVA,VENEZIA MESTRE
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_DEBAB2A3D4C0,15,15,0,0,0,0,3,3,9,3,3,3,2,1,146.0,58.0,88.0,5.866666666666666,-3.0,31.79999999999999,54.09999999999996,0,TORINO P.NUOVA,REGGIO CALABRIA CENTRALE
2024-06,,infrasettimanale,mattina,N_FEBDC4EA7CA2,N_F047351D32A4,43,43,0,0,0,0,14,19,10,19,8,5,4,2,480.0,36.0,444.0,10.325581395348838,4.0,22.800000000000047,56.8,0,TORINO P.NUOVA,NAPOLI CENTRALE
2024-06,,infrasettimanale,notte,N_190F2FC36516,N_FEBDC4EA7CA2,15,15,0,0,0,0,1,14,0,14,11,7,2,0,266.0,0.0,266.0,17.733333333333334,14.0,30.4,37.39999999999998,0,BATTIPAGLIA,TORINO P.NUOVA
2024-06,,infrasettimanale,notte,N_26FAC2401D1E,N_ACF3D2764DA3,15,15,0,0,0,0,6,8,1,8,3,0,0,0,86.0,1.0,85.0,5.666666666666667,5.0,13.0,13.0,0,VENEZIA SANTA LUCIA,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_26FAC2401D1E,N_E903EB64CBF3,15,15,0,0,0,0,0,0,15,0,0,0,0,0,0.0,73.0,-73.0,-4.866666666666666,-5.0,-1.4000000000000004,-1.0,0,VENEZIA SANTA LUCIA,ROMA TERMINI
2024-06,,infrasettimanale,notte,N_2B5A38574141,N_ACF3D2764DA3,15,15,0,0,0,0,5,9,1,9,7,5,2,2,267.0,6.0,261.0,17.4,9.0,49.79999999999998,79.69999999999997,0,BARI CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_55C18CEAEA1C,N_E903EB64CBF3,15,15,0,0,0,0,7,6,2,6,2,2,1,1,156.0,5.0,151.0,10.066666666666666,4.0,13.599999999999996,42.89999999999991,0,BENEVENTO,ROMA TERMINI
2024-06,,infrasettimanale,notte,N_66EFE7185ACC,N_E903EB64CBF3,30,30,0,0,0,0,14,2,14,2,1,0,0,0,30.0,47.0,-17.0,-0.5666666666666667,0.0,2.0,3.6499999999999915,0,GENOVA P.PRINCIPE,ROMA TERMINI
2024-06,,infrasettimanale,notte,N_72DA38E192FF,N_ACF3D2764DA3,15,15,0,0,0,0,2,0,13,0,0,0,0,0,4.0,46.0,-42.0,-2.8,-3.0,0.1999999999999993,1.5999999999999979,0,PESCARA,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_ACF3D2764DA3,N_BF0DC42C9523,2,2,0,0,0,0,1,1,0,1,1,0,0,0,11.0,0.0,11.0,5.5,5.5,9.1,9.549999999999999,0,MILANO CENTRALE,LECCE
2024-06,,infrasettimanale,notte,N_ACF3D2764DA3,N_C03F51FB3BED,15,15,0,0,0,0,1,2,12,2,1,1,1,0,58.0,84.0,-26.0,-1.7333333333333334,-7.0,3.3999999999999986,19.09999999999995,0,MILANO CENTRALE,SALERNO
2024-06,,infrasettimanale,notte,N_ACF3D2764DA3,N_E903EB64CBF3,15,15,0,0,0,0,7,5,3,5,1,0,0,0,50.0,4.0,46.0,3.066666666666667,4.0,5.6,7.199999999999996,0,MILANO CENTRALE,ROMA TERMINI
2024-06,,infrasettimanale,notte,N_ACF3D2764DA3,N_F047351D32A4,15,15,0,0,0,0,4,3,8,3,2,1,1,0,67.0,26.0,41.0,2.7333333333333334,-2.0,9.199999999999998,22.199999999999964,0,MILANO CENTRALE,NAPOLI CENTRALE
2024-06,,infrasettimanale,notte,N_BF0DC42C9523,N_ACF3D2764DA3,15,15,0,0,0,0,1,13,1,13,10,9,5,2,420.0,1.0,419.0,27.933333333333334,18.0,64.39999999999999,80.29999999999998,0,LECCE,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_C03F51FB3BED,N_ACF3D2764DA3,16,16,0,0,0,0,1,3,12,3,2,1,1,0,50.0,77.0,-27.0,-1.6875,-5.0,8.0,15.5,0,SALERNO,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_C03F51FB3BED,N_FEBDC4EA7CA2,14,14,0,0,0,0,2,12,0,12,11,7,2,1,318.0,0.0,318.0,22.714285714285715,14.0,42.90000000000003,73.39999999999998,0,SALERNO,TORINO P.NUOVA
2024-06,,infrasettimanale,notte,N_DD6564CDFB93,N_ACF3D2764DA3,15,15,0,0,0,0,0,5,9,5,1,1,1,0,57.0,49.0,8.0,0.5714285714285714,-3.5,7.0,15.749999999999991,0,ANCONA,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_DEBAB2A3D4C0,N_ACF3D2764DA3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,6.0,-6.0,-3.0,-3.0,-3.0,-3.0,0,REGGIO CALABRIA CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_E903EB64CBF3,N_26FAC2401D1E,15,15,0,0,0,0,5,4,6,4,1,1,1,0,61.0,17.0,44.0,2.933333333333333,3.0,5.6,13.499999999999973,0,ROMA TERMINI,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,notte,N_E903EB64CBF3,N_ACF3D2764DA3,27,27,0,0,0,0,11,5,11,5,3,1,1,0,92.0,36.0,56.0,2.074074074074074,0.0,9.400000000000002,12.799999999999997,0,ROMA TERMINI,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_EE539AC676E9,N_E903EB64CBF3,30,30,0,0,0,0,12,4,14,4,3,0,0,0,55.0,48.0,7.0,0.23333333333333334,0.0,5.500000000000007,10.0,0,BOLZANO,ROMA TERMINI
2024-06,,infrasettimanale,notte,N_F047351D32A4,N_ACF3D2764DA3,15,15,0,0,0,0,5,8,2,8,2,1,1,0,93.0,7.0,86.0,5.733333333333333,5.0,9.799999999999999,16.99999999999998,0,NAPOLI CENTRALE,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_F047351D32A4,N_AF7C7C87621E,15,15,0,0,0,0,13,1,1,1,0,0,0,0,30.0,1.0,29.0,1.9333333333333333,2.0,3.5999999999999996,4.599999999999998,0,NAPOLI CENTRALE,FIUMICINO AEROPORTO
2024-06,,infrasettimanale,notte,N_F047351D32A4,N_FEBDC4EA7CA2,15,15,0,0,0,0,0,15,0,15,14,8,4,2,384.0,0.0,384.0,25.6,19.0,60.0,68.49999999999999,0,NAPOLI CENTRALE,TORINO P.NUOVA
2024-06,,infrasettimanale,notte,N_F0893AF956E9,N_FEBDC4EA7CA2,15,15,0,0,0,0,1,14,0,14,8,4,1,0,196.0,0.0,196.0,13.066666666666666,10.0,24.2,28.29999999999999,0,PERUGIA,TORINO P.NUOVA
2024-06,,infrasettimanale,notte,N_FEBDC4EA7CA2,N_ACF3D2764DA3,15,15,0,0,0,0,5,9,1,9,5,5,3,0,195.0,2.0,193.0,12.866666666666667,5.0,39.0,41.0,0,TORINO P.NUOVA,MILANO CENTRALE
2024-06,,infrasettimanale,notte,N_FEBDC4EA7CA2,N_F047351D32A4,15,15,0,0,0,0,7,2,6,2,1,1,0,0,36.0,17.0,19.0,1.2666666666666666,1.0,4.6,7.999999999999989,0,TORINO P.NUOVA,NAPOLI CENTRALE
2024-06,,infrasettimanale,pomeriggio,N_049B6C1A1016,N_26FAC2401D1E,1,1,0,0,0,0,0,1,0,1,1,1,0,0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,0,ROMA OSTIENSE,VENEZIA SANTA LUCIA
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_ACF3D2764DA3,44,44,0,0,0,0,3,41,0,41,19,14,2,0,505.0,0.0,505.0,11.477272727272727,9.0,20.400000000000006,25.400000000000006,0,VENEZIA SANTA LUCIA,MILANO CENTRALE
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_BF0DC42C9523,11,11,0,0,0,0,3,0,8,0,0,0,0,0,5.0,54.0,-49.0,-4.454545454545454,-6.0,2.0,2.0,0,VENEZIA SANTA LUCIA,LECCE
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_C03F51FB3BED,15,15,0,0,0,0,3,5,7,5,4,4,4,2,266.0,42.0,224.0,14.933333333333334,1.0,63.599999999999994,72.1,0,VENEZIA SANTA LUCIA,SALERNO
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_C35DAF060D8A,15,15,0,0,0,0,0,15,0,15,15,14,7,2,511.0,0.0,511.0,34.06666666666667,29.0,60.0,64.0,0,VENEZIA SANTA LUCIA,GENOVA BRIGNOLE
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_E903EB64CBF3,15,15,0,0,0,0,5,6,4,6,6,4,4,3,284.0,14.0,270.0,18.0,1.0,65.2,66.89999999999999,0,VENEZIA SANTA LUCIA,ROMA TERMINI
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_F047351D32A4,30,30,0,0,0,0,8,19,3,19,16,12,9,5,853.0,8.0,845.0,28.166666666666668,10.5,82.40000000000003,104.55,0,VENEZIA SANTA LUCIA,NAPOLI CENTRALE
2024-06,,infrasettimanale,pomeriggio,N_26FAC2401D1E,N_FEBDC4EA7CA2,15,15,0,0,0,0,1,14,0,14,11,7,1,0,246.0,0.0,246.0,16.4,14.0,28.6,33.79999999999998,0,VENEZIA SANTA LUCIA,TORINO P.NUOVA
