mese,categoria,soppresse,oltre_15,parzialmente_cancellate,oltre_30,minuti_netti_tot,effettuate,minuti_ritardo_tot,cancellate_tot,oltre_10,oltre_60,corse_osservate,oltre_5,in_orario,cancellate,info_mancante,in_ritardo,minuti_anticipo_tot,in_anticipo,ritardo_mediano,p90,p95,ritardo_medio
2025-03,IC,0,404,0,193,16350.0,3101,22503.0,0,611,66,3101,1007,794,0,0,1007,6153.0,1284,1.0,19.0,35.0,5.299837925445705
2025-03,ICN,0,43,0,14,515.0,545,2341.0,0,62,6,545,122,128,0,0,122,1826.0,295,-1.0,11.0,17.0,0.944954128440367
2025-03,IR,0,2,0,0,35.0,3,39.0,0,2,0,3,2,0,0,0,2,4.0,1,17.0,21.0,21.5,11.666666666666666
2025-03,MET,0,111,0,46,151.0,6715,8732.0,0,176,7,6715,382,2658,0,0,382,8581.0,3447,-1.0,3.0,5.0,0.0232773238785262
2025-03,NCL,0,6,0,4,-127.0,34,488.0,0,7,2,34,10,2,0,0,10,615.0,19,-3.0,40.0,100.5,-4.096774193548387
2025-03,REG,0,5754,0,1759,260485.0,227579,507509.0,0,10413,300,227579,30584,98058,0,0,30584,247024.0,94425,0.0,6.0,9.0,1.1677433237547463
2025-03,,0,2124,0,994,101148.0,15874,123940.0,0,3206,350,15874,5692,4772,0,0,5692,22792.0,5276,2.0,20.0,34.0,6.426175349428209
2025-04,EC,0,140,0,57,5019.0,1432,7646.0,0,218,16,1432,387,359,0,0,387,2627.0,657,1.0,14.0,26.0,3.577334283677833
2025-04,EN,0,37,0,18,1658.0,116,1856.0,0,47,6,116,67,27,0,0,67,198.0,20,7.0,33.7,57.099999999999966,14.543859649122806
2025-04,EXP,0,11,0,6,562.0,29,573.0,0,13,3,29,17,7,0,0,17,11.0,3,9.0,55.000000000000064,75.1,20.814814814814813
2025-04,IC,0,366,0,164,16287.0,2920,22283.0,0,552,68,2920,911,736,0,0,911,5996.0,1271,1.0,18.0,32.15000000000009,5.5815627141878
2025-04,ICN,0,75,0,46,2243.0,549,4296.0,0,99,21,549,138,102,0,0,138,2053.0,309,-2.0,24.0,46.60000000000002,4.085610200364298
2025-04,IR,0,2,0,1,121.0,3,121.0,0,3,1,3,3,0,0,0,3,0.0,0,15.0,76.6,84.3,40.333333333333336
2025-04,MET,0,48,0,20,-3144.0,6452,5906.0,0,84,5,6452,262,2511,0,0,262,9050.0,3642,-1.0,2.0,4.0,-0.4901013250194855
2025-04,NCL,0,4,0,4,619.0,14,700.0,0,5,3,14,6,1,0,0,6,81.0,2,14.0,205.40000000000003,280.19999999999993,68.77777777777777
2025-04,REG,0,5937,0,1887,276605.0,224813,516718.0,0,10618,335,224813,30883,98902,0,0,30883,240113.0,92807,0.0,6.0,9.0,1.2426547225416906
2025-04,,0,2392,0,1164,114952.0,15228,135918.0,0,3396,384,15228,5640,4456,0,0,5640,20966.0,5132,2.0,24.0,41.0,7.548726030995534
2025-05,DIR,0,2,0,1,52.0,2,52.0,0,2,0,2,2,0,0,0,2,0.0,0,26.0,32.4,33.2,26.0
2025-05,EC,0,170,0,72,8338.0,1483,10970.0,0,282,33,1483,506,380,0,0,506,2632.0,584,2.0,17.0,27.0,5.672108843537415
2025-05,EN,0,40,0,18,2751.0,112,2798.0,0,55,11,112,71,28,0,0,71,47.0,13,8.5,50.70000000000001,127.94999999999989,24.5625
2025-05,EXP,0,10,0,6,269.0,37,438.0,0,11,2,37,13,6,0,0,13,169.0,18,1.0,43.99999999999999,53.399999999999885,7.27027027027027
2025-05,IC,0,512,0,245,21029.0,3145,26638.0,0,723,86,3145,1115,745,0,0,1115,5609.0,1214,2.0,25.0,43.0,6.8409238776837995
2025-05,ICN,0,88,0,57,2937.0,595,5378.0,0,118,32,595,158,119,0,0,158,2441.0,318,-1.0,27.600000000000023,65.29999999999995,4.936134453781513
2025-05,IR,0,1,0,1,37.0,6,53.0,0,1,0,6,1,0,0,0,1,16.0,5,-2.5,26.0,39.5,6.166666666666667
2025-05,MET,0,99,0,30,-471.0,6734,8356.0,0,162,6,6734,379,2479,0,0,379,8827.0,3551,-1.0,3.0,5.0,-0.0734904041192073
2025-05,NCL,0,11,0,9,325.0,39,524.0,0,12,1,39,13,2,0,0,13,199.0,14,2.0,54.8,58.0,11.20689655172414
2025-05,REG,0,8603,0,2990,415896.0,237919,648273.0,0,14457,610,237919,37935,100797,0,0,37935,232377.0,90575,1.0,7.0,11.0,1.813708260105448
2025-05,,0,2932,0,1448,136368.0,15904,156716.0,0,4208,464,15904,6700,3986,0,0,6700,20348.0,4826,3.0,28.0,45.0,8.79112944816916
2025-06,EC,0,216,0,102,9477.0,1210,11212.0,0,300,34,1210,461,287,0,0,461,1735.0,432,2.0,26.0,47.0,8.03135593220339
2025-06,EN,0,32,0,17,1820.0,115,1955.0,0,42,9,115,59,39,0,0,59,135.0,15,5.0,47.19999999999997,91.4,16.106194690265486
2025-06,EXP,0,12,0,3,250.0,40,368.0,0,14,0,40,18,5,0,0,18,118.0,15,2.5,26.200000000000017,31.94999999999998,6.578947368421052
2025-06,IC,0,711,0,385,37221.0,3071,41584.0,0,980,153,3071,1434,703,0,0,1434,4363.0,911,4.0,35.0,59.65000000000009,12.211614173228346
2025-06,ICN,0,100,0,66,3490.0,607,5887.0,0,123,28,607,158,122,0,0,158,2397.0,327,-1.0,31.399999999999974,52.39999999999986,5.749588138385502
2025-06,IR,0,4,0,3,224.0,9,231.0,0,5,2,9,6,1,0,0,6,7.0,2,11.0,70.4,75.19999999999999,24.88888888888889
2025-06,MET,0,72,0,29,105.0,6666,8334.0,0,124,9,6666,368,2640,0,0,368,8229.0,3490,-1.0,3.0,5.0,0.0161588180978762
2025-06,NCL,0,2,0,2,23.0,9,188.0,0,3,1,9,5,0,0,0,5,165.0,4,5.0,51.80000000000002,89.39999999999996,2.555555555555556
2025-06,REG,0,7791,0,2715,363789.0,220805,588170.0,0,13215,547,220805,34379,92892,0,0,34379,224381.0,87335,0.0,7.0,11.0,1.6951483183135607
2025-06,,0,3828,0,2148,196910.0,15138,214412.0,0,5042,872,15138,7340,3564,0,0,7340,17502.0,3966,4.0,41.0,64.0,13.242098184263618
2025-07,DIR,0,0,0,0,5.0,2,5.0,0,0,0,2,0,2,0,0,0,0.0,0,2.5,2.9,2.95,2.5
2025-07,EC,0,245,0,119,9945.0,1252,11346.0,0,335,23,1252,493,276,0,0,493,1401.0,419,2.0,29.29999999999995,41.0,8.371212121212121
2025-07,EN,0,49,0,31,2877.0,119,2903.0,0,59,12,119,81,30,0,0,81,26.0,8,9.0,56.00000000000003,87.6999999999999,24.176470588235293
2025-07,EXP,0,10,0,8,415.0,52,629.0,0,15,3,52,18,9,0,0,18,214.0,22,0.0,50.20000000000002,69.1999999999999,8.46938775510204
2025-07,IC,0,792,0,429,39030.0,3142,43501.0,0,1048,164,3142,1478,687,0,0,1478,4471.0,924,4.0,40.0,61.59999999999991,12.635157008740691
2025-07,ICN,0,94,0,63,3620.0,607,5601.0,0,125,25,607,187,126,0,0,187,1981.0,294,0.0,30.0,51.0,5.963756177924218
