giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02-13,REG,S02593,S03310,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,0,VENEZIA S.LUCIA,MONFALCONE
2026-02-13,REG,S04700,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,0,GENOVA PIAZZA PRINCIPE,SESTRI LEVANTE
2026-02-13,REG,S04702,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,GENOVA BRIGNOLE,SESTRI LEVANTE
2026-02-13,REG,S04725,S04801,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,0,SESTRI LEVANTE,SAVONA
2026-02-13,REG,S05043,S05308,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,0,BOLOGNA CENTRALE,POGGIO RUSCO
2026-02-13,REG,S06000,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,LA SPEZIA CENTRALE,SESTRI LEVANTE
2026-02-13,REG,S06421,S06725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,FIRENZE SANTA MARIA NOVELLA,LIVORNO CENTRALE
2026-02-13,REG,S06421,S06915,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,0,FIRENZE SANTA MARIA NOVELLA,AREZZO
2026-02-13,REG,S08409,S06500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,0,ROMA TERMINI,PISA CENTRALE
2026-02-13,REG,S08409,S07113,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,ROMA TERMINI,ANCONA
2026-02-13,REG,S08409,S08010,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,ROMA TERMINI,CIVITAVECCHIA
2026-02-13,REG,S08409,S08640,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,ROMA TERMINI,FORMIA-GAETA
2026-02-13,REG,S08411,S08409,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-5,-5.0,-5.0,-5.0,-5.0,0,FIUMICINO AEROPORTO,ROMA TERMINI
2026-02-13,REG,S11119,S11145,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,BARI CENTRALE,LECCE
2026-02-13,REG,S12317,S12332,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,0,TAORMINA-GIARDINI,CATANIA CENTRALE
2026-02-14,EC,S01003,S01700,7,7,0,0,0,0,2,5,0,5,4,1,0,0,69,0,69,9.857142857142858,10.0,17.800000000000004,22.899999999999988,0,DOMODOSSOLA,MILANO CENTRALE
2026-02-14,EC,S01003,S02593,1,1,0,0,0,0,0,1,0,1,1,1,0,0,25,0,25,25.0,25.0,25.0,25.0,0,DOMODOSSOLA,VENEZIA S.LUCIA
2026-02-14,EC,S01301,S01700,11,11,0,0,0,0,2,1,8,1,0,0,0,0,7,20,-13,-1.181818181818182,-2.0,1.0,3.5,0,CHIASSO,MILANO CENTRALE
2026-02-14,EC,S01301,S02593,1,1,0,0,0,0,0,1,0,1,1,1,0,0,18,0,18,18.0,18.0,18.0,18.0,0,CHIASSO,VENEZIA S.LUCIA
2026-02-14,EC,S01301,S05043,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,CHIASSO,BOLOGNA CENTRALE
2026-02-14,EC,S01700,S01003,7,7,0,0,0,0,1,3,3,3,0,0,0,0,20,25,-5,-0.7142857142857143,1.0,6.800000000000001,7.399999999999999,0,MILANO CENTRALE,DOMODOSSOLA
2026-02-14,EC,S01700,S01301,11,11,0,0,0,0,3,1,7,1,0,0,0,0,8,25,-17,-1.5454545454545454,-3.0,1.0,3.0,0,MILANO CENTRALE,CHIASSO
2026-02-14,EC,S02001,S02026,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,0,BRENNERO,BOLZANO
2026-02-14,EC,S02001,S02430,1,1,0,0,0,0,0,1,0,1,1,1,1,0,39,0,39,39.0,39.0,39.0,39.0,0,BRENNERO,VERONA PORTA NUOVA
2026-02-14,EC,S02001,S02593,2,2,0,0,0,0,0,2,0,2,1,1,0,0,30,0,30,15.0,15.0,20.6,21.3,0,BRENNERO,VENEZIA S.LUCIA
2026-02-14,EC,S02001,S05043,2,2,0,0,0,0,0,2,0,2,2,2,1,0,55,0,55,27.5,27.5,36.7,37.85,0,BRENNERO,BOLOGNA CENTRALE
