mese,tipo_giorno,fascia_oraria,categoria,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ritardo_mediano,p95,ritardo_medio,p90
2024-06,weekend,mattina,,0,620,0,784.0,25,6902.0,620,155,186,0,287,135,287,0,0,61,174,7686.0,3.770967741935484,50.10112903225803,11.21058893163658,29.699032258064538
2024-06,weekend,notte,EC,0,1,0,9.0,0,-9.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-9.0,-9.0,-9.0,-9.0
2024-06,weekend,notte,EN,0,9,0,2.0,2,512.0,9,2,3,0,6,3,6,0,0,2,1,514.0,8.0,246.0,56.888888888888886,204.00000000000003
2024-06,weekend,notte,IC,0,100,0,182.0,2,883.0,100,26,24,0,35,21,35,0,0,10,38,1065.0,2.0,48.29999999999998,8.919191919191919,29.00000000000001
2024-06,weekend,notte,ICN,0,16,0,85.0,1,43.0,16,4,3,0,4,2,4,0,0,1,8,128.0,-1.0,33.75,2.6875,12.5
2024-06,weekend,notte,MET,0,136,0,193.0,0,79.0,136,41,11,0,17,5,17,0,0,0,71,272.0,-1.0,13.0,0.6124031007751938,8.200000000000003
2024-06,weekend,notte,NCL,0,5,0,148.0,0,-148.0,5,0,0,0,0,0,0,0,0,0,5,0.0,-27.0,-22.0,-29.6,-23.0
2024-06,weekend,notte,REG,0,3527,0,4575.0,8,2625.0,3527,1419,158,0,379,83,379,0,0,31,1643,7200.0,0.0,8.0,0.7628596338273758,5.0
2024-06,weekend,notte,,0,172,0,354.0,5,1324.0,172,41,38,0,58,26,58,0,0,15,71,1678.0,1.0,37.58139534883721,7.796004370220072,26.16860465116279
2024-06,weekend,pomeriggio,EC,0,58,0,24.0,2,612.0,58,20,18,0,26,15,26,0,0,7,12,636.0,3.5,49.49999999999999,10.551724137931034,36.60000000000001
2024-06,weekend,pomeriggio,EN,0,4,0,0.0,2,229.0,4,1,3,0,3,3,3,0,0,3,0,229.0,62.5,96.7,57.25,93.4
2024-06,weekend,pomeriggio,IC,0,166,0,165.0,6,2167.0,166,23,66,0,101,48,101,0,0,20,42,2332.0,7.0,47.0,13.05421686746988,33.0
2024-06,weekend,pomeriggio,ICN,0,1,0,4.0,0,-4.0,1,0,0,0,0,0,0,0,0,0,1,0.0,-4.0,-4.0,-4.0,-4.0
2024-06,weekend,pomeriggio,MET,0,359,0,468.0,0,-185.0,359,132,5,0,14,1,14,0,0,0,201,283.0,-1.0,3.6999999999999886,-0.5331412103746398,2.0
2024-06,weekend,pomeriggio,REG,0,10148,0,10197.0,27,19141.0,10148,4197,743,0,1725,429,1725,0,0,147,3840,29338.0,1.0,13.0,1.9607662364269618,7.0
2024-06,weekend,pomeriggio,,0,508,0,499.0,16,4836.0,508,136,146,0,224,111,224,0,0,50,141,5335.0,3.938976377952756,45.11515748031496,9.65583849891104,29.849803149606323
2024-06,weekend,sera,EC,0,27,0,8.0,1,236.0,27,11,7,0,12,6,12,0,0,2,4,244.0,3.0,32.0,8.74074074074074,23.200000000000006
2024-06,weekend,sera,EXP,0,2,0,27.0,0,-27.0,2,0,0,0,0,0,0,0,0,0,2,0.0,-13.5,-2.25,-13.5,-3.5
2024-06,weekend,sera,IC,0,87,0,106.0,9,1636.0,87,20,36,0,46,25,46,0,0,19,20,1742.0,5.0,71.75,19.023255813953487,60.0
2024-06,weekend,sera,ICN,0,92,0,168.0,5,1113.0,92,25,25,0,37,18,37,0,0,12,30,1281.0,3.0,64.40000000000003,12.097826086956522,34.60000000000002
2024-06,weekend,sera,IR,0,1,0,0.0,0,43.0,1,0,1,0,1,1,1,0,0,1,0,43.0,43.0,43.0,43.0,43.0
2024-06,weekend,sera,MET,0,340,0,338.0,0,-3.0,340,149,4,0,20,1,20,0,0,0,157,335.0,0.0,5.0,-0.00920245398773,3.0
