giorno,ora,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02-13,22:00,REG,S02581,partenza,"(0,1]",1,1,0
2026-02-13,22:00,REG,S02593,arrivo,"(-1,0]",1,0,0
2026-02-13,22:00,REG,S02593,partenza,"(1,5]",1,2,0
2026-02-13,22:00,REG,S03310,arrivo,"(1,5]",1,2,0
2026-02-13,22:00,REG,S04700,partenza,"(-5,-1]",1,0,4
2026-02-13,22:00,REG,S04702,arrivo,"(1,5]",1,4,0
2026-02-13,22:00,REG,S04725,arrivo,"(-5,-1]",1,0,4
2026-02-13,22:00,REG,S04725,partenza,"(-5,-1]",1,0,1
2026-02-13,22:00,REG,S04801,arrivo,"(-5,-1]",1,0,1
2026-02-13,22:00,REG,S05043,arrivo,"(1,5]",1,4,0
2026-02-13,23:00,IC,S08409,partenza,"(30,60]",1,50,0
2026-02-13,23:00,IC,S12301,arrivo,"(30,60]",1,50,0
2026-02-13,23:00,ICN,S02026,arrivo,"(-10,-5]",1,0,8
2026-02-13,23:00,ICN,S08409,partenza,"(-10,-5]",1,0,8
2026-02-13,23:00,REG,S00034,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S00248,arrivo,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S00248,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S00248,partenza,"(1,5]",1,2,0
2026-02-13,23:00,REG,S01030,arrivo,"(1,5]",1,4,0
2026-02-13,23:00,REG,S01030,arrivo,"(5,10]",1,9,0
2026-02-13,23:00,REG,S01030,partenza,"(-5,-1]",2,0,2
2026-02-13,23:00,REG,S01059,arrivo,"(-5,-1]",1,0,2
2026-02-13,23:00,REG,S01059,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01066,arrivo,"(-1,0]",2,0,0
2026-02-13,23:00,REG,S01066,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01066,arrivo,"(1,5]",2,5,0
2026-02-13,23:00,REG,S01066,partenza,"(-5,-1]",2,0,5
2026-02-13,23:00,REG,S01066,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01066,partenza,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01146,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01146,partenza,"(-1,0]",2,0,0
2026-02-13,23:00,REG,S01146,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01205,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01205,arrivo,"(1,5]",1,2,0
2026-02-13,23:00,REG,S01205,partenza,"(-10,-5]",1,0,6
2026-02-13,23:00,REG,S01205,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01301,arrivo,"(-5,-1]",2,0,5
2026-02-13,23:00,REG,S01307,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01307,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01307,partenza,"(1,5]",1,2,0
2026-02-13,23:00,REG,S01316,arrivo,"(-5,-1]",1,0,4
2026-02-13,23:00,REG,S01316,arrivo,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01316,partenza,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S01316,partenza,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01326,arrivo,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S01326,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01400,arrivo,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01400,partenza,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01420,arrivo,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01420,partenza,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01430,arrivo,"(-10,-5]",1,0,5
2026-02-13,23:00,REG,S01430,arrivo,"(5,10]",1,6,0
2026-02-13,23:00,REG,S01430,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01440,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01440,partenza,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01520,arrivo,"(-5,-1]",2,0,4
2026-02-13,23:00,REG,S01520,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01520,partenza,"(1,5]",1,2,0
2026-02-13,23:00,REG,S01642,arrivo,"(-5,-1]",2,0,4
2026-02-13,23:00,REG,S01642,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01642,arrivo,"(5,10]",1,8,0
2026-02-13,23:00,REG,S01642,partenza,"(-5,-1]",2,0,2
2026-02-13,23:00,REG,S01642,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01642,partenza,"(5,10]",1,7,0
2026-02-13,23:00,REG,S01645,arrivo,"(-5,-1]",2,0,2
2026-02-13,23:00,REG,S01645,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01645,arrivo,"(1,5]",3,6,0
2026-02-13,23:00,REG,S01645,partenza,"(-5,-1]",3,0,7
2026-02-13,23:00,REG,S01645,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01700,arrivo,"(-5,-1]",2,0,2
2026-02-13,23:00,REG,S01700,arrivo,"(0,1]",2,2,0
2026-02-13,23:00,REG,S01700,arrivo,"(1,5]",1,3,0
2026-02-13,23:00,REG,S01700,partenza,"(-10,-5]",1,0,5
2026-02-13,23:00,REG,S01700,partenza,"(-5,-1]",1,0,2
2026-02-13,23:00,REG,S01700,partenza,"(1,5]",1,4,0
2026-02-13,23:00,REG,S01700,partenza,"(5,10]",3,23,0
2026-02-13,23:00,REG,S01703,partenza,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S01708,arrivo,"(-10,-5]",1,0,6
2026-02-13,23:00,REG,S01708,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01708,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01708,partenza,"(1,5]",1,2,0
2026-02-13,23:00,REG,S01810,partenza,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S01820,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01820,partenza,"(-5,-1]",2,0,3
2026-02-13,23:00,REG,S01825,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01825,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01825,partenza,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S01825,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S01860,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01860,arrivo,"(5,10]",1,7,0
2026-02-13,23:00,REG,S01860,partenza,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01860,partenza,"(5,10]",1,8,0
2026-02-13,23:00,REG,S01933,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S01933,partenza,"(1,5]",1,2,0
2026-02-13,23:00,REG,S02011,arrivo,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S02011,partenza,"(15,30]",1,29,0
2026-02-13,23:00,REG,S02114,arrivo,"(15,30]",1,29,0
2026-02-13,23:00,REG,S02114,partenza,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S02430,arrivo,"(5,10]",1,8,0
2026-02-13,23:00,REG,S02550,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S02559,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S02559,partenza,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S02559,partenza,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S02581,arrivo,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S02593,arrivo,"(-1,0]",1,0,0
2026-02-13,23:00,REG,S02593,partenza,"(-5,-1]",2,0,5
2026-02-13,23:00,REG,S03026,arrivo,"(-5,-1]",1,0,4
2026-02-13,23:00,REG,S03200,arrivo,"(-5,-1]",1,0,1
2026-02-13,23:00,REG,S04702,partenza,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S04725,arrivo,"(-5,-1]",2,0,6
2026-02-13,23:00,REG,S05000,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S05043,partenza,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S05308,arrivo,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S06000,partenza,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S06421,partenza,"(-5,-1]",2,0,5
2026-02-13,23:00,REG,S06725,arrivo,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S06915,arrivo,"(-5,-1]",1,0,2
2026-02-13,23:00,REG,S08010,arrivo,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S08409,arrivo,"(-10,-5]",1,0,5
2026-02-13,23:00,REG,S08409,partenza,"(-5,-1]",1,0,3
2026-02-13,23:00,REG,S08409,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S08411,partenza,"(-10,-5]",1,0,5
2026-02-13,23:00,REG,S08640,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S11119,partenza,"(0,1]",1,1,0
2026-02-13,23:00,REG,S11145,arrivo,"(0,1]",1,1,0
2026-02-13,23:00,REG,S12317,partenza,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S12332,arrivo,"(-10,-5]",1,0,7
2026-02-13,23:00,REG,S19919,arrivo,"(-1,0]",1,0,0
2026-02-14,00:00,IC,S08409,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,IC,S12301,partenza,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S00248,arrivo,"(-5,-1]",2,0,2
2026-02-14,00:00,REG,S00248,partenza,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S00248,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01030,arrivo,"(-1,0]",1,0,0
2026-02-14,00:00,REG,S01030,arrivo,"(1,5]",1,5,0
2026-02-14,00:00,REG,S01030,partenza,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01030,partenza,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01059,arrivo,"(-5,-1]",2,0,5
2026-02-14,00:00,REG,S01059,partenza,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01059,partenza,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01066,arrivo,"(-1,0]",2,0,0
2026-02-14,00:00,REG,S01066,arrivo,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01066,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01066,arrivo,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01066,partenza,"(-10,-5]",1,0,5
2026-02-14,00:00,REG,S01066,partenza,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01066,partenza,"(1,5]",1,3,0
2026-02-14,00:00,REG,S01066,partenza,"(5,10]",1,6,0
2026-02-14,00:00,REG,S01146,partenza,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01205,arrivo,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01205,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01205,partenza,"(-10,-5]",1,0,5
2026-02-14,00:00,REG,S01205,partenza,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01301,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01307,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01307,arrivo,"(1,5]",1,3,0
2026-02-14,00:00,REG,S01307,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01307,partenza,"(5,10]",1,6,0
2026-02-14,00:00,REG,S01316,arrivo,"(-10,-5]",1,0,5
2026-02-14,00:00,REG,S01316,arrivo,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01316,partenza,"(-1,0]",1,0,0
2026-02-14,00:00,REG,S01316,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01400,arrivo,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01400,partenza,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01420,arrivo,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01420,partenza,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S01430,arrivo,"(5,10]",1,7,0
2026-02-14,00:00,REG,S01440,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01520,arrivo,"(-5,-1]",2,0,5
2026-02-14,00:00,REG,S01520,partenza,"(-5,-1]",2,0,4
2026-02-14,00:00,REG,S01529,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01642,arrivo,"(-5,-1]",4,0,9
2026-02-14,00:00,REG,S01642,partenza,"(-5,-1]",4,0,6
2026-02-14,00:00,REG,S01645,arrivo,"(-5,-1]",3,0,6
2026-02-14,00:00,REG,S01645,arrivo,"(1,5]",2,4,0
2026-02-14,00:00,REG,S01645,arrivo,"(5,10]",1,6,0
2026-02-14,00:00,REG,S01645,partenza,"(-5,-1]",5,0,9
2026-02-14,00:00,REG,S01645,partenza,"(1,5]",1,3,0
2026-02-14,00:00,REG,S01700,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01700,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01700,arrivo,"(1,5]",1,2,0
2026-02-14,00:00,REG,S01700,partenza,"(-1,0]",1,0,0
2026-02-14,00:00,REG,S01700,partenza,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01700,partenza,"(0,1]",2,2,0
2026-02-14,00:00,REG,S01700,partenza,"(1,5]",1,5,0
2026-02-14,00:00,REG,S01700,partenza,"(5,10]",1,7,0
2026-02-14,00:00,REG,S01708,arrivo,"(-10,-5]",1,0,5
2026-02-14,00:00,REG,S01708,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S01708,partenza,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01708,partenza,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01717,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01820,arrivo,"(-5,-1]",1,0,3
2026-02-14,00:00,REG,S01820,arrivo,"(0,1]",1,1,0
2026-02-14,00:00,REG,S01820,partenza,"(-5,-1]",2,0,5
2026-02-14,00:00,REG,S01825,arrivo,"(-5,-1]",2,0,3
2026-02-14,00:00,REG,S01825,partenza,"(-5,-1]",2,0,5
2026-02-14,00:00,REG,S01860,arrivo,"(-5,-1]",2,0,3
2026-02-14,00:00,REG,S01860,partenza,"(-5,-1]",2,0,4
2026-02-14,00:00,REG,S01933,arrivo,"(1,5]",1,3,0
2026-02-14,00:00,REG,S01933,arrivo,"(5,10]",1,6,0
2026-02-14,00:00,REG,S01933,partenza,"(-1,0]",1,0,0
2026-02-14,00:00,REG,S01933,partenza,"(0,1]",1,1,0
2026-02-14,00:00,REG,S02430,arrivo,"(1,5]",1,2,0
2026-02-14,00:00,REG,S02559,partenza,"(-5,-1]",2,0,3
2026-02-14,00:00,REG,S02570,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S02581,arrivo,"(-5,-1]",1,0,2
2026-02-14,00:00,REG,S02593,arrivo,"(-5,-1]",1,0,1
2026-02-14,00:00,REG,S02593,partenza,"(1,5]",2,7,0
2026-02-14,00:00,REG,S02706,arrivo,"(1,5]",1,5,0
2026-02-14,00:00,REG,S02712,arrivo,"(1,5]",1,2,0
2026-02-14,00:00,REG,S04702,partenza,"(-10,-5]",1,0,8
2026-02-14,00:00,REG,S04801,arrivo,"(-10,-5]",1,0,8
2026-02-14,00:00,REG,S05014,arrivo,"(1,5]",1,2,0
2026-02-14,00:00,REG,S05043,partenza,"(1,5]",1,2,0
2026-02-14,00:00,REG,S05043,partenza,"(5,10]",1,6,0
2026-02-14,00:00,REG,S05058,arrivo,"(5,10]",1,6,0
2026-02-14,00:00,REG,S06411,arrivo,"(-10,-5]",1,0,6
2026-02-14,00:00,REG,S06421,partenza,"(-10,-5]",2,0,11
2026-02-14,00:00,REG,S06500,arrivo,"(-10,-5]",1,0,5
2026-02-14,01:00,NCL,S02011,partenza,"(-60,-30]",1,0,42
2026-02-14,01:00,NCL,S02114,arrivo,"(-60,-30]",1,0,42
2026-02-14,01:00,REG,S00248,arrivo,"(0,1]",1,1,0
2026-02-14,01:00,REG,S00248,arrivo,"(1,5]",1,4,0
2026-02-14,01:00,REG,S00248,partenza,"(-5,-1]",1,0,1
2026-02-14,01:00,REG,S01030,arrivo,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01030,arrivo,"(15,30]",1,23,0
2026-02-14,01:00,REG,S01030,partenza,"(-5,-1]",1,0,1
2026-02-14,01:00,REG,S01030,partenza,"(5,10]",1,6,0
2026-02-14,01:00,REG,S01059,arrivo,"(-5,-1]",2,0,3
2026-02-14,01:00,REG,S01059,partenza,"(-5,-1]",2,0,6
2026-02-14,01:00,REG,S01066,arrivo,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01066,arrivo,"(-5,-1]",1,0,2
2026-02-14,01:00,REG,S01066,arrivo,"(1,5]",1,2,0
2026-02-14,01:00,REG,S01066,partenza,"(-5,-1]",2,0,6
2026-02-14,01:00,REG,S01066,partenza,"(1,5]",1,2,0
2026-02-14,01:00,REG,S01066,partenza,"(5,10]",1,6,0
2026-02-14,01:00,REG,S01205,arrivo,"(30,60]",1,40,0
2026-02-14,01:00,REG,S01205,partenza,"(-5,-1]",1,0,3
2026-02-14,01:00,REG,S01307,arrivo,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01307,arrivo,"(1,5]",1,3,0
2026-02-14,01:00,REG,S01307,partenza,"(-5,-1]",1,0,1
2026-02-14,01:00,REG,S01316,arrivo,"(-5,-1]",2,0,6
2026-02-14,01:00,REG,S01316,partenza,"(-5,-1]",1,0,2
2026-02-14,01:00,REG,S01520,arrivo,"(-5,-1]",2,0,3
2026-02-14,01:00,REG,S01520,partenza,"(-5,-1]",1,0,1
2026-02-14,01:00,REG,S01520,partenza,"(1,5]",1,3,0
2026-02-14,01:00,REG,S01642,arrivo,"(-5,-1]",1,0,2
2026-02-14,01:00,REG,S01642,arrivo,"(0,1]",2,2,0
2026-02-14,01:00,REG,S01642,partenza,"(-1,0]",2,0,0
2026-02-14,01:00,REG,S01642,partenza,"(0,1]",2,2,0
2026-02-14,01:00,REG,S01645,arrivo,"(-5,-1]",3,0,3
2026-02-14,01:00,REG,S01645,arrivo,"(1,5]",1,3,0
2026-02-14,01:00,REG,S01645,partenza,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01645,partenza,"(-5,-1]",2,0,3
2026-02-14,01:00,REG,S01645,partenza,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01645,partenza,"(1,5]",2,7,0
2026-02-14,01:00,REG,S01700,arrivo,"(-5,-1]",1,0,1
2026-02-14,01:00,REG,S01700,arrivo,"(5,10]",1,6,0
2026-02-14,01:00,REG,S01700,partenza,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01708,arrivo,"(-5,-1]",1,0,3
2026-02-14,01:00,REG,S01708,partenza,"(15,30]",1,23,0
2026-02-14,01:00,REG,S01708,partenza,"(30,60]",1,40,0
2026-02-14,01:00,REG,S01820,arrivo,"(-5,-1]",2,0,6
2026-02-14,01:00,REG,S01820,partenza,"(-5,-1]",2,0,3
2026-02-14,01:00,REG,S01825,arrivo,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01825,arrivo,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01825,partenza,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01860,arrivo,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01860,arrivo,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01860,partenza,"(-5,-1]",1,0,2
2026-02-14,01:00,REG,S01860,partenza,"(0,1]",1,1,0
2026-02-14,01:00,REG,S01933,arrivo,"(1,5]",1,2,0
2026-02-14,01:00,REG,S01933,arrivo,"(5,10]",1,6,0
2026-02-14,01:00,REG,S01933,partenza,"(-1,0]",1,0,0
2026-02-14,01:00,REG,S01933,partenza,"(1,5]",1,2,0
2026-02-14,01:00,REG,S02570,partenza,"(5,10]",1,7,0
2026-02-14,01:00,REG,S02712,arrivo,"(5,10]",1,7,0
2026-02-14,02:00,REG,S00248,arrivo,"(-5,-1]",1,0,2
2026-02-14,02:00,REG,S01030,partenza,"(0,1]",1,1,0
2026-02-14,02:00,REG,S01059,arrivo,"(-5,-1]",1,0,3
2026-02-14,02:00,REG,S01059,partenza,"(-5,-1]",1,0,4
2026-02-14,02:00,REG,S01066,partenza,"(-1,0]",1,0,0
2026-02-14,02:00,REG,S01307,arrivo,"(1,5]",1,5,0
2026-02-14,02:00,REG,S01520,arrivo,"(-5,-1]",1,0,2
2026-02-14,02:00,REG,S01520,partenza,"(-5,-1]",1,0,1
2026-02-14,02:00,REG,S01642,partenza,"(1,5]",1,2,0
2026-02-14,02:00,REG,S01645,arrivo,"(-5,-1]",1,0,1
2026-02-14,02:00,REG,S01645,partenza,"(-5,-1]",2,0,4
2026-02-14,02:00,REG,S01645,partenza,"(1,5]",1,5,0
2026-02-14,02:00,REG,S01700,arrivo,"(0,1]",1,1,0
2026-02-14,02:00,REG,S01820,arrivo,"(-5,-1]",1,0,4
2026-02-14,02:00,REG,S01820,partenza,"(-5,-1]",1,0,3
2026-02-14,02:00,REG,S01825,arrivo,"(1,5]",1,2,0
2026-02-14,02:00,REG,S01933,arrivo,"(-1,0]",1,0,0
