mese,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02,EC,S02001,S02593,4,4,0,0,0,0,1,2,1,2,1,1,0,0,31,3,28,7.0,4.5,17.800000000000004,19.899999999999995,0,BRENNERO,VENEZIA S.LUCIA
2026-02,EC,S02001,S05043,4,4,0,0,0,0,0,3,1,3,3,3,1,0,83,2,81,20.25,22.0,35.7,37.349999999999994,0,BRENNERO,BOLOGNA CENTRALE
2026-02,EC,S02026,S02001,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.8,2.9,0,BOLZANO,BRENNERO
2026-02,EC,S02430,S02001,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6,-6,-3.0,-3.0,-2.2,-2.1,0,VERONA PORTA NUOVA,BRENNERO
2026-02,EC,S02593,S01003,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,10,-10,-5.0,-5.0,-0.9999999999999998,-0.5000000000000004,0,VENEZIA S.LUCIA,DOMODOSSOLA
2026-02,EC,S02593,S01301,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.8,0.8999999999999999,0,VENEZIA S.LUCIA,CHIASSO
2026-02,EC,S02593,S02001,4,4,0,0,0,0,3,1,0,1,1,0,0,0,16,0,16,4.0,2.0,9.3,10.649999999999997,0,VENEZIA S.LUCIA,BRENNERO
2026-02,EC,S05043,S01301,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,BOLOGNA CENTRALE,CHIASSO
2026-02,EC,S05043,S02001,4,4,0,0,0,0,1,3,0,3,1,1,0,0,34,0,34,8.5,7.0,15.3,16.65,0,BOLOGNA CENTRALE,BRENNERO
2026-02,EC,S06421,S01301,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,3,-1,-0.5,-0.5,1.5,1.7499999999999998,0,FIRENZE SANTA MARIA NOVELLA,CHIASSO
2026-02,ECFR,S00201,S01700,4,4,0,0,0,0,0,4,0,4,3,1,1,0,73,0,73,18.25,13.0,31.500000000000004,35.24999999999999,0,MODANE,MILANO CENTRALE
2026-02,EN,S03015,S08217,1,0,1,0,0,0,0,1,0,1,1,1,0,0,19,0,19,19.0,19.0,19.0,19.0,1,TARVISIO BOSCOVERDE,ROMA TIBURTINA
2026-02,EN,S05043,S08217,1,1,0,0,0,0,0,1,0,1,1,1,1,0,36,0,36,36.0,36.0,36.0,36.0,0,BOLOGNA CENTRALE,ROMA TIBURTINA
2026-02,EN,S08217,S05043,1,1,0,0,0,0,0,1,0,1,1,1,0,0,20,0,20,20.0,20.0,20.0,20.0,0,ROMA TIBURTINA,BOLOGNA CENTRALE
2026-02,EXP,S02430,S06500,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,VERONA PORTA NUOVA,PISA CENTRALE
2026-02,EXP,S04516,S04501,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,ALBENGA,VENTIMIGLIA
2026-02,EXP,S06500,S08406,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-8,-8.0,-8.0,-8.0,-8.0,0,PISA CENTRALE,ROMA OSTIENSE
2026-02,EXP,S07113,S02430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-12,-12.0,-12.0,-12.0,-12.0,0,ANCONA,VERONA PORTA NUOVA
2026-02,EXP,S08406,S07113,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,0,ROMA OSTIENSE,ANCONA
2026-02,FA,S04700,S08409,4,4,0,0,0,0,2,1,1,1,1,1,1,1,125,5,120,30.0,1.5,86.30000000000001,104.14999999999995,0,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-02,FA,S05811,S08409,2,2,0,0,0,0,0,1,1,1,1,1,1,0,46,4,42,21.0,21.0,41.0,43.5,0,RAVENNA,ROMA TERMINI
2026-02,FA,S08409,S04700,3,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0.6666666666666666,0.0,1.6,1.7999999999999998,0,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-02,FA,S08409,S05811,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,4.0,4.0,4.0,4.0,0,ROMA TERMINI,RAVENNA
2026-02,FA,S08409,S09211,3,3,0,0,0,0,1,2,0,2,1,0,0,0,18,0,18,6.0,5.0,9.0,9.5,0,ROMA TERMINI,CASERTA
2026-02,FA,S08409,S09311,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,0,ROMA TERMINI,BENEVENTO
2026-02,FA,S08409,S11145,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,0,ROMA TERMINI,LECCE
2026-02,FA,S08409,S11781,4,4,0,0,0,0,0,4,0,4,4,4,3,2,238,0,238,59.5,56.5,90.10000000000001,96.54999999999998,0,ROMA TERMINI,REGGIO DI CALABRIA CENTRALE
2026-02,FA,S09211,S08409,5,4,0,1,0,0,2,2,1,2,1,1,1,1,78,16,62,12.4,2.0,44.00000000000001,55.999999999999986,0,CASERTA,ROMA TERMINI
2026-02,FA,S11781,S08409,4,4,0,0,0,0,0,4,0,4,4,4,4,2,272,0,272,68.0,71.0,94.3,95.64999999999999,0,REGGIO DI CALABRIA CENTRALE,ROMA TERMINI
2026-02,FB,S01700,S08409,2,2,0,0,0,0,1,1,0,1,1,1,1,0,32,0,32,16.0,16.0,27.2,28.599999999999998,0,MILANO CENTRALE,ROMA TERMINI
2026-02,FB,S04700,S08409,6,3,0,0,3,0,2,4,0,4,4,4,2,2,253,0,253,42.166666666666664,17.0,109.0,110.5,3,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-02,FB,S08409,S01700,2,2,0,0,0,0,0,2,0,2,1,0,0,0,17,0,17,8.5,8.5,9.7,9.85,0,ROMA TERMINI,MILANO CENTRALE
2026-02,FB,S08409,S04700,4,3,0,0,1,0,1,2,1,2,2,2,1,1,102,5,97,24.25,12.0,60.60000000000001,69.29999999999998,1,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2026-02,FR,S00202,S08409,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,-5,-5.0,-5.0,-5.0,-5.0,0,BARDONECCHIA,ROMA TERMINI
2026-02,FR,S00202,S09218,1,1,0,0,0,0,0,1,0,1,1,1,1,1,116,0,116,116.0,116.0,116.0,116.0,0,BARDONECCHIA,NAPOLI CENTRALE
2026-02,FR,S00219,S02593,6,6,0,0,0,0,2,3,1,3,1,1,0,0,32,2,30,5.0,3.5,12.0,15.0,0,TORINO PORTA NUOVA,VENEZIA S.LUCIA
2026-02,FR,S00219,S03317,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,TORINO PORTA NUOVA,TRIESTE CENTRALE
2026-02,FR,S00219,S07004,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,TORINO PORTA NUOVA,PERUGIA
2026-02,FR,S00219,S08409,11,10,0,1,0,0,5,4,2,4,3,3,3,1,211,2,209,19.0,2.0,54.0,82.0,0,TORINO PORTA NUOVA,ROMA TERMINI
2026-02,FR,S00219,S09218,14,13,1,0,0,0,3,11,0,11,10,8,8,6,1080,0,1080,77.14285714285714,49.5,180.20000000000002,197.04999999999998,1,TORINO PORTA NUOVA,NAPOLI CENTRALE
2026-02,FR,S00219,S09818,3,3,0,0,0,0,1,1,1,1,1,1,1,1,115,6,109,36.333333333333336,4.0,89.60000000000001,100.29999999999998,0,TORINO PORTA NUOVA,SALERNO
2026-02,FR,S00219,S11145,2,2,0,0,0,0,0,1,1,1,1,1,0,0,19,2,17,8.5,8.5,16.9,17.95,0,TORINO PORTA NUOVA,LECCE
2026-02,FR,S00219,S11781,4,4,0,0,0,0,1,3,0,3,3,3,3,2,340,0,340,85.0,53.5,181.60000000000002,205.29999999999995,0,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2026-02,FR,S01700,S00219,2,2,0,0,0,0,0,2,0,2,0,0,0,0,14,0,14,7.0,7.0,7.8,7.9,0,MILANO CENTRALE,TORINO PORTA NUOVA
2026-02,FR,S01700,S02026,2,2,0,0,0,0,0,1,1,1,0,0,0,0,5,1,4,2.0,2.0,4.4,4.699999999999999,0,MILANO CENTRALE,BOLZANO
2026-02,FR,S01700,S02593,21,21,0,0,0,0,12,5,4,5,2,2,0,0,87,9,78,3.7142857142857144,3.0,7.0,18.0,0,MILANO CENTRALE,VENEZIA S.LUCIA
2026-02,FR,S01700,S03026,4,4,0,0,0,0,2,2,0,2,1,0,0,0,21,0,21,5.25,5.5,9.4,9.7,0,MILANO CENTRALE,UDINE
2026-02,FR,S01700,S03317,6,6,0,0,0,0,2,2,2,2,1,1,0,0,33,10,23,3.8333333333333335,2.5,14.0,17.0,0,MILANO CENTRALE,TRIESTE CENTRALE
2026-02,FR,S01700,S07113,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,33,-33,-8.25,-4.5,-4.0,-4.0,0,MILANO CENTRALE,ANCONA
2026-02,FR,S01700,S07810,4,4,0,0,0,0,0,4,0,4,1,1,1,0,57,0,57,14.25,8.5,27.200000000000003,31.09999999999999,0,MILANO CENTRALE,PESCARA
2026-02,FR,S01700,S08409,13,11,0,2,0,0,4,5,4,5,2,2,2,2,283,20,263,20.23076923076923,2.0,94.00000000000009,127.59999999999997,0,MILANO CENTRALE,ROMA TERMINI
2026-02,FR,S01700,S09211,4,3,0,1,0,0,2,1,1,1,1,1,1,1,85,2,83,20.75,1.5,58.30000000000001,70.14999999999998,0,MILANO CENTRALE,CASERTA
2026-02,FR,S01700,S09218,18,17,1,0,0,0,3,11,4,11,8,4,4,4,516,13,503,27.944444444444443,7.0,99.70000000000002,118.84999999999994,1,MILANO CENTRALE,NAPOLI CENTRALE
2026-02,FR,S01700,S09818,10,9,0,1,0,0,1,5,4,5,5,4,3,2,462,30,432,43.2,6.5,184.4,186.2,0,MILANO CENTRALE,SALERNO
2026-02,FR,S01700,S09823,2,2,0,0,0,0,0,1,1,1,1,1,1,1,68,3,65,32.5,32.5,60.9,64.45,0,MILANO CENTRALE,BATTIPAGLIA
2026-02,FR,S01700,S11100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0,0,MILANO CENTRALE,FOGGIA
2026-02,FR,S01700,S11119,7,7,0,0,0,0,0,4,3,4,2,2,1,0,70,23,47,6.714285714285714,5.0,26.800000000000004,31.899999999999988,0,MILANO CENTRALE,BARI CENTRALE
2026-02,FR,S01700,S11145,6,6,0,0,0,0,2,2,2,2,1,1,1,0,62,11,51,8.5,2.0,29.0,41.0,0,MILANO CENTRALE,LECCE
2026-02,FR,S01700,S11465,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,0,MILANO CENTRALE,TARANTO
2026-02,FR,S01700,S11781,5,5,0,0,0,0,1,4,0,4,4,3,3,3,377,0,377,75.4,96.0,139.20000000000002,151.6,0,MILANO CENTRALE,REGGIO DI CALABRIA CENTRALE
2026-02,FR,S01717,S08409,4,4,0,0,0,0,1,2,1,2,2,2,1,1,152,1,151,37.75,13.0,95.40000000000002,110.69999999999996,0,BRESCIA,ROMA TERMINI
2026-02,FR,S01717,S09218,2,2,0,0,0,0,1,1,0,1,1,1,1,1,177,0,177,88.5,88.5,156.9,165.45,0,BRESCIA,NAPOLI CENTRALE
2026-02,FR,S02026,S01700,2,2,0,0,0,0,0,2,0,2,1,1,0,0,28,0,28,14.0,14.0,19.6,20.3,0,BOLZANO,MILANO CENTRALE
2026-02,FR,S02026,S08409,8,8,0,0,0,0,2,4,2,4,4,4,4,3,372,6,366,45.75,22.5,110.2,111.6,0,BOLZANO,ROMA TERMINI
2026-02,FR,S02026,S09218,2,2,0,0,0,0,1,1,0,1,1,1,1,0,58,0,58,29.0,29.0,50.6,53.3,0,BOLZANO,NAPOLI CENTRALE
2026-02,FR,S02026,S11811,2,2,0,0,0,0,0,2,0,2,2,2,1,1,180,0,180,90.0,90.0,146.8,153.9,0,BOLZANO,SIBARI
2026-02,FR,S02336,S08409,2,2,0,0,0,0,1,1,0,1,1,1,1,1,89,0,89,44.5,44.5,77.7,81.85,0,MANTOVA,ROMA TERMINI
2026-02,FR,S02589,S08409,1,0,1,0,0,0,0,1,0,1,1,0,0,0,13,0,13,13.0,13.0,13.0,13.0,1,VENEZIA MESTRE,ROMA TERMINI
2026-02,FR,S02589,S09218,1,0,1,0,0,0,0,1,0,1,1,1,1,1,82,0,82,82.0,82.0,82.0,82.0,1,VENEZIA MESTRE,NAPOLI CENTRALE
2026-02,FR,S02593,S00219,6,6,0,0,0,0,1,4,1,4,3,2,1,0,93,2,91,15.166666666666666,9.0,36.0,41.0,0,VENEZIA S.LUCIA,TORINO PORTA NUOVA
2026-02,FR,S02593,S01700,23,23,0,0,0,0,10,13,0,13,6,0,0,0,132,0,132,5.739130434782608,5.0,11.0,12.799999999999997,0,VENEZIA S.LUCIA,MILANO CENTRALE
2026-02,FR,S02593,S04702,2,2,0,0,0,0,0,2,0,2,2,0,0,0,23,0,23,11.5,11.5,11.9,11.95,0,VENEZIA S.LUCIA,GENOVA BRIGNOLE
2026-02,FR,S02593,S08409,10,9,1,0,0,0,1,4,5,4,4,4,4,3,321,19,302,30.2,1.0,91.69999999999999,99.34999999999998,1,VENEZIA S.LUCIA,ROMA TERMINI
2026-02,FR,S02593,S09218,10,10,0,0,0,0,1,7,2,7,6,5,4,4,552,4,548,54.8,13.5,120.39999999999998,149.19999999999993,0,VENEZIA S.LUCIA,NAPOLI CENTRALE
2026-02,FR,S02593,S09818,2,2,0,0,0,0,0,1,1,1,1,1,1,1,114,5,109,54.5,54.5,102.10000000000001,108.05,0,VENEZIA S.LUCIA,SALERNO
2026-02,FR,S02593,S11145,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,-2,-1.0,-1.0,-1.0,-1.0,0,VENEZIA S.LUCIA,LECCE
2026-02,FR,S02593,S11781,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,VENEZIA S.LUCIA,REGGIO DI CALABRIA CENTRALE
2026-02,FR,S03026,S01700,3,3,0,0,0,0,1,2,0,2,0,0,0,0,17,0,17,5.666666666666667,5.0,8.2,8.6,0,UDINE,MILANO CENTRALE
2026-02,FR,S03304,S09218,2,2,0,0,0,0,0,1,1,1,1,1,1,1,224,5,219,109.5,109.5,201.1,212.54999999999998,0,GORIZIA CENTRALE,NAPOLI CENTRALE
2026-02,FR,S03317,S00219,2,2,0,0,0,0,0,2,0,2,0,0,0,0,13,0,13,6.5,6.5,7.7,7.85,0,TRIESTE CENTRALE,TORINO PORTA NUOVA
2026-02,FR,S03317,S01700,6,6,0,0,0,0,2,4,0,4,2,2,0,0,57,0,57,9.5,7.0,18.5,20.25,0,TRIESTE CENTRALE,MILANO CENTRALE
2026-02,FR,S03317,S08409,2,2,0,0,0,0,0,2,0,2,1,1,1,1,171,0,171,85.5,85.5,147.5,155.25,0,TRIESTE CENTRALE,ROMA TERMINI
2026-02,FR,S04702,S02593,2,2,0,0,0,0,0,2,0,2,2,0,0,0,28,0,28,14.0,14.0,14.0,14.0,0,GENOVA BRIGNOLE,VENEZIA S.LUCIA
2026-02,FR,S06421,S08409,2,2,0,0,0,0,1,1,0,1,1,1,1,0,47,0,47,23.5,23.5,42.3,44.65,0,FIRENZE SANTA MARIA NOVELLA,ROMA TERMINI
2026-02,FR,S06421,S09218,2,2,0,0,0,0,0,2,0,2,1,1,1,0,63,0,63,31.5,31.5,51.1,53.55,0,FIRENZE SANTA MARIA NOVELLA,NAPOLI CENTRALE
2026-02,FR,S07004,S00219,2,2,0,0,0,0,0,2,0,2,2,1,0,0,31,0,31,15.5,15.5,18.3,18.65,0,PERUGIA,TORINO PORTA NUOVA
2026-02,FR,S07113,S01700,4,4,0,0,0,0,1,1,2,1,1,1,0,0,22,5,17,4.25,0.0,14.600000000000003,17.299999999999994,0,ANCONA,MILANO CENTRALE
2026-02,FR,S07810,S01700,3,3,0,0,0,0,2,0,1,0,0,0,0,0,4,4,0,0.0,2.0,2.0,2.0,0,PESCARA,MILANO CENTRALE
2026-02,FR,S07810,S05009,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,1,PESCARA,FIDENZA
2026-02,FR,S08409,S00202,2,2,0,0,0,0,0,2,0,2,2,1,0,0,25,0,25,12.5,12.5,14.5,14.75,0,ROMA TERMINI,BARDONECCHIA
2026-02,FR,S08409,S00219,9,7,1,1,0,0,1,5,3,5,3,3,3,2,206,11,195,21.666666666666668,5.0,66.4,73.19999999999999,1,ROMA TERMINI,TORINO PORTA NUOVA
2026-02,FR,S08409,S01700,16,15,0,1,0,0,4,7,5,7,5,4,4,2,348,10,338,21.125,2.0,63.0,91.0,0,ROMA TERMINI,MILANO CENTRALE
2026-02,FR,S08409,S01717,4,4,0,0,0,0,1,3,0,3,2,2,2,2,194,0,194,48.5,47.5,95.0,96.5,0,ROMA TERMINI,BRESCIA
2026-02,FR,S08409,S02026,6,6,0,0,0,0,2,2,2,2,2,2,2,1,130,4,126,21.0,1.5,63.5,66.25,0,ROMA TERMINI,BOLZANO
2026-02,FR,S08409,S02336,2,2,0,0,0,0,0,2,0,2,1,1,1,0,48,0,48,24.0,24.0,36.0,37.5,0,ROMA TERMINI,MANTOVA
2026-02,FR,S08409,S02589,1,0,1,0,0,0,0,1,0,1,1,1,1,1,162,0,162,162.0,162.0,162.0,162.0,1,ROMA TERMINI,VENEZIA MESTRE
2026-02,FR,S08409,S02593,7,7,0,0,0,0,3,2,2,2,1,1,0,0,45,5,40,5.714285714285714,4.0,15.800000000000008,22.399999999999984,0,ROMA TERMINI,VENEZIA S.LUCIA
2026-02,FR,S08409,S03317,2,2,0,0,0,0,0,1,1,1,1,1,1,1,74,3,71,35.5,35.5,66.3,70.14999999999999,0,ROMA TERMINI,TRIESTE CENTRALE
2026-02,FR,S08409,S09211,3,3,0,0,0,0,0,2,1,2,1,1,0,0,29,7,22,7.333333333333333,9.0,17.8,18.9,0,ROMA TERMINI,CASERTA
2026-02,FR,S08409,S09218,6,6,0,0,0,0,2,2,2,2,2,1,1,0,74,5,69,11.5,2.0,35.0,46.0,0,ROMA TERMINI,NAPOLI CENTRALE
2026-02,FR,S08409,S09810,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,0,ROMA TERMINI,POMPEI
2026-02,FR,S08409,S11145,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,4.0,4.0,4.0,4.0,0,ROMA TERMINI,LECCE
2026-02,FR,S09211,S01700,3,3,0,0,0,0,1,2,0,2,1,1,1,1,84,0,84,28.0,5.0,63.400000000000006,70.69999999999999,0,CASERTA,MILANO CENTRALE
2026-02,FR,S09211,S08409,4,4,0,0,0,0,0,2,2,2,2,2,2,1,120,20,100,25.0,18.0,68.80000000000001,75.39999999999998,0,CASERTA,ROMA TERMINI
2026-02,FR,S09218,S00219,7,7,0,0,0,0,1,6,0,6,6,5,3,2,383,0,383,54.714285714285715,18.0,132.60000000000002,150.29999999999995,0,NAPOLI CENTRALE,TORINO PORTA NUOVA
2026-02,FR,S09218,S01700,29,25,1,3,0,0,8,17,4,17,11,11,8,7,833,10,823,28.379310344827587,8.0,96.59999999999998,116.8,1,NAPOLI CENTRALE,MILANO CENTRALE
2026-02,FR,S09218,S01717,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,NAPOLI CENTRALE,BRESCIA
2026-02,FR,S09218,S02026,2,2,0,0,0,0,0,2,0,2,2,1,1,1,86,0,86,43.0,43.0,67.0,70.0,0,NAPOLI CENTRALE,BOLZANO
2026-02,FR,S09218,S02589,1,0,1,0,0,0,0,1,0,1,1,1,1,1,70,0,70,70.0,70.0,70.0,70.0,1,NAPOLI CENTRALE,VENEZIA MESTRE
2026-02,FR,S09218,S02593,13,13,0,0,0,0,0,12,1,12,7,6,6,4,517,2,515,39.61538461538461,14.0,104.4,109.0,0,NAPOLI CENTRALE,VENEZIA S.LUCIA
2026-02,FR,S09218,S03304,2,2,0,0,0,0,0,1,1,1,1,1,1,1,73,1,72,36.0,36.0,65.6,69.3,0,NAPOLI CENTRALE,GORIZIA CENTRALE
2026-02,FR,S09218,S06421,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,9,-9,-4.5,-4.5,-4.1,-4.05,0,NAPOLI CENTRALE,FIRENZE SANTA MARIA NOVELLA
2026-02,FR,S09218,S08409,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,8,-8,-4.0,-4.0,-1.5999999999999999,-1.3000000000000003,0,NAPOLI CENTRALE,ROMA TERMINI
2026-02,FR,S09818,S00219,3,3,0,0,0,0,0,3,0,3,3,2,2,1,159,0,159,53.0,38.0,96.4,103.69999999999999,0,SALERNO,TORINO PORTA NUOVA
2026-02,FR,S09818,S01700,5,5,0,0,0,0,0,4,1,4,3,2,1,1,197,1,196,39.2,14.0,101.60000000000002,129.79999999999998,0,SALERNO,MILANO CENTRALE
2026-02,FR,S09818,S02593,4,4,0,0,0,0,1,3,0,3,3,3,2,1,128,0,128,32.0,24.5,63.400000000000006,69.69999999999999,0,SALERNO,VENEZIA S.LUCIA
2026-02,FR,S09823,S00219,2,2,0,0,0,0,0,2,0,2,2,2,2,0,99,0,99,49.5,49.5,55.5,56.25,0,BATTIPAGLIA,TORINO PORTA NUOVA
2026-02,FR,S11119,S01700,8,8,0,0,0,0,1,6,1,6,4,0,0,0,62,2,60,7.5,9.0,11.6,12.299999999999999,0,BARI CENTRALE,MILANO CENTRALE
2026-02,FR,S11145,S00219,2,2,0,0,0,0,0,2,0,2,1,1,0,0,25,0,25,12.5,12.5,18.5,19.25,0,LECCE,TORINO PORTA NUOVA
2026-02,FR,S11145,S01700,6,6,0,0,0,0,0,5,1,5,4,3,0,0,76,1,75,12.5,12.5,22.0,24.5,0,LECCE,MILANO CENTRALE
2026-02,FR,S11145,S02593,4,4,0,0,0,0,2,1,1,1,0,0,0,0,7,2,5,1.25,1.0,4.1000000000000005,4.549999999999999,0,LECCE,VENEZIA S.LUCIA
2026-02,FR,S11465,S00219,2,2,0,0,0,0,0,2,0,2,1,1,1,1,109,0,109,54.5,54.5,90.9,95.44999999999999,0,TARANTO,TORINO PORTA NUOVA
2026-02,FR,S11781,S00219,6,6,0,0,0,0,0,5,1,5,5,5,5,3,334,3,331,55.166666666666664,57.5,91.5,94.25,0,REGGIO DI CALABRIA CENTRALE,TORINO PORTA NUOVA
2026-02,FR,S11781,S01700,1,1,0,0,0,0,0,1,0,1,1,1,1,1,84,0,84,84.0,84.0,84.0,84.0,0,REGGIO DI CALABRIA CENTRALE,MILANO CENTRALE
2026-02,FR,S11781,S02589,1,0,1,0,0,0,0,1,0,1,1,1,1,1,118,0,118,118.0,118.0,118.0,118.0,1,REGGIO DI CALABRIA CENTRALE,VENEZIA MESTRE
2026-02,FR,S11781,S02593,1,1,0,0,0,0,0,1,0,1,1,1,1,0,56,0,56,56.0,56.0,56.0,56.0,0,REGGIO DI CALABRIA CENTRALE,VENEZIA S.LUCIA
2026-02,FR,S11781,S08409,1,0,1,0,0,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,1,REGGIO DI CALABRIA CENTRALE,ROMA TERMINI
2026-02,FR,S11811,S02026,2,2,0,0,0,0,0,2,0,2,2,2,1,1,110,0,110,55.0,55.0,81.4,84.7,0,SIBARI,BOLZANO
2026-02,IC,S00219,S04702,2,2,0,0,0,0,0,1,1,1,1,1,0,0,15,8,7,3.5,3.5,12.700000000000001,13.85,0,TORINO PORTA NUOVA,GENOVA BRIGNOLE
2026-02,IC,S00219,S04801,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,19,-19,-9.5,-9.5,-5.1,-4.550000000000001,0,TORINO PORTA NUOVA,SAVONA
2026-02,IC,S00219,S09818,2,2,0,0,0,0,0,1,1,1,1,1,0,0,23,4,19,9.5,9.5,20.3,21.65,0,TORINO PORTA NUOVA,SALERNO
2026-02,IC,S00219,S11145,1,1,0,0,0,0,0,1,0,1,1,0,0,0,10,0,10,10.0,10.0,10.0,10.0,0,TORINO PORTA NUOVA,LECCE
2026-02,IC,S00219,S11781,1,0,0,0,1,0,0,1,0,1,1,1,0,0,21,0,21,21.0,21.0,21.0,21.0,1,TORINO PORTA NUOVA,REGGIO DI CALABRIA CENTRALE
2026-02,IC,S01645,S11145,2,2,0,0,0,0,0,2,0,2,1,0,0,0,18,0,18,9.0,9.0,10.6,10.8,0,MILANO PORTA GARIBALDI,LECCE
2026-02,IC,S01700,S04501,12,12,0,0,0,0,3,7,2,7,4,3,0,0,98,12,86,7.166666666666667,7.0,15.9,21.39999999999999,0,MILANO CENTRALE,VENTIMIGLIA
